evaluation_split,analysis_variant,dc_operation,bess_enabled,dc_scale_of_reference_mix,target_dc_peak_kw,maximum_pv_curtailment_fraction,scenario_count,feasible_scenario_count,all_scenarios_feasible,simultaneous_feasible_pv_hosting_kw,mean_scenario_pv_hosting_kw,minimum_scenario_pv_hosting_kw,maximum_scenario_pv_hosting_kw,q05_scenario_pv_hosting_kw,q50_scenario_pv_hosting_kw,q95_scenario_pv_hosting_kw
validation,headline_pv_hosting_envelope,rigid,False,0.5,100.500391992,0.05,100,100,True,472.353462158,703.190008702,472.353462158,820.188092118,515.25833782,724.953657749,803.467805393
validation,headline_pv_hosting_envelope,flexible,True,0.5,100.500391992,0.05,100,100,True,553.122199053,786.467546778,553.122199053,904.386849023,586.908061187,803.132363756,897.803487465
validation,headline_pv_hosting_envelope,rigid,True,0.5,100.500391992,0.05,100,100,True,535.814530847,766.051358218,535.814530847,886.493424015,578.550824956,783.607884833,870.318200175
validation,headline_pv_hosting_envelope,flexible,False,1,201.000783984,0.05,100,100,True,617.518963453,860.4003214,617.518963453,985.848647813,668.080254286,876.675460947,971.741640148
validation,headline_pv_hosting_envelope,rigid,False,1,201.000783984,0.05,100,100,True,584.69363513,815.546267771,584.69363513,951.840521838,641.966625502,831.954427464,919.729023996
validation,headline_pv_hosting_envelope,flexible,True,1,201.000783984,0.05,100,100,True,686.768909239,922.517581499,686.768909239,1051.71706502,730.310745801,934.58316834,1033.07516773
validation,headline_pv_hosting_envelope,rigid,True,1,201.000783984,0.05,100,100,True,653.391962938,879.318552387,653.391962938,1020.15169292,709.454335,892.11364289,983.049990589
validation,headline_pv_hosting_envelope,flexible,False,2,402.001567968,0.05,100,100,True,870.826167319,1126.93356936,870.826167319,1273.89882517,949.891221182,1135.67594696,1239.07090183
validation,headline_pv_hosting_envelope,rigid,False,2,402.001567968,0.05,100,100,True,801.680060808,1030.19983631,801.680060808,1209.40353502,870.378428933,1049.54324001,1140.8003028
validation,headline_pv_hosting_envelope,flexible,True,2,402.001567968,0.05,100,100,True,939.968727696,1189.74173448,939.968727696,1336.24090625,1016.58249495,1201.37440044,1299.4968631
validation,headline_pv_hosting_envelope,rigid,True,2,402.001567968,0.05,100,100,True,878.651026892,1094.96233538,878.651026892,1274.16936878,933.452531785,1110.27639054,1204.86791899
validation,headline_pv_hosting_envelope,flexible,False,3,603.002351952,0.05,100,100,True,1120.84550697,1390.20466073,1120.84550697,1558.68203303,1230.82585948,1398.9220394,1509.69028872
validation,headline_pv_hosting_envelope,rigid,False,3,603.002351952,0.05,100,31,False,,1155.10749562,1013.73002261,1359.92037973,1017.44929847,1173.17836758,1298.80835868
validation,headline_pv_hosting_envelope,flexible,True,3,603.002351952,0.05,100,100,True,1190.87079078,1453.51961387,1190.87079078,1617.87993914,1298.08701961,1459.65694183,1574.60826983
validation,headline_pv_hosting_envelope,rigid,True,3,603.002351952,0.05,100,96,False,,1297.58216295,1092.96094049,1526.36433253,1107.93356834,1297.37620131,1426.21084144
validation,pv_curtailment_sensitivity,flexible,False,1,201.000783984,0,100,100,True,444.513651365,664.790275454,444.513651365,765.047854517,460.466496077,688.234195259,765.047854517
validation,pv_curtailment_sensitivity,rigid,False,1,201.000783984,0,100,100,True,353.867201021,591.787753843,353.867201021,754.169940668,447.482401705,591.128763311,702.196072201
validation,pv_curtailment_sensitivity,flexible,True,1,201.000783984,0,100,100,True,511.682376799,741.472441969,511.682376799,854.605079793,556.935260176,766.335311531,854.605079793
validation,pv_curtailment_sensitivity,rigid,True,1,201.000783984,0,100,100,True,445.393299916,685.401544534,445.393299916,842.678006498,543.720088251,691.490804029,798.407852254
validation,pv_curtailment_sensitivity,flexible,False,1,201.000783984,0.05,100,100,True,617.518963453,860.4003214,617.518963453,985.848647813,668.080254286,876.675460947,971.741640148
validation,pv_curtailment_sensitivity,rigid,False,1,201.000783984,0.05,100,100,True,584.69363513,815.546267771,584.69363513,951.840521838,641.966625502,831.954427464,919.729023996
validation,pv_curtailment_sensitivity,flexible,True,1,201.000783984,0.05,100,100,True,686.768909239,922.517581499,686.768909239,1051.71706502,730.310745801,934.58316834,1033.07516773
validation,pv_curtailment_sensitivity,rigid,True,1,201.000783984,0.05,100,100,True,653.391962938,879.318552387,653.391962938,1020.15169292,709.454335,892.11364289,983.049990589
validation,pv_curtailment_sensitivity,flexible,False,1,201.000783984,0.1,100,100,True,709.339335502,965.78866334,709.339335502,1128.62259353,772.253404434,974.843454056,1101.77749127
validation,pv_curtailment_sensitivity,rigid,False,1,201.000783984,0.1,100,100,True,674.841917715,921.510981132,674.841917715,1067.61669813,732.496613443,935.933251804,1052.24408644
validation,pv_curtailment_sensitivity,flexible,True,1,201.000783984,0.1,100,100,True,770.775458209,1026.8226294,770.775458209,1195.83777076,836.591748303,1030.80760438,1164.23294648
validation,pv_curtailment_sensitivity,rigid,True,1,201.000783984,0.1,100,100,True,739.733800712,984.308578058,739.733800712,1136.5248023,800.414134148,994.366688212,1115.86652886
validation,pv_curtailment_sensitivity,flexible,False,1,201.000783984,0.2,100,100,True,885.169637439,1169.75235752,885.169637439,1384.10297455,960.423351279,1169.2546497,1346.53763614
validation,pv_curtailment_sensitivity,rigid,False,1,201.000783984,0.2,100,100,True,838.576620131,1122.24003834,838.576620131,1323.53346321,909.856423731,1127.159661,1290.00195444
validation,pv_curtailment_sensitivity,flexible,True,1,201.000783984,0.2,100,100,True,954.45983322,1234.36165273,954.45983322,1461.34160617,1029.36533825,1231.23732506,1420.3453599
validation,pv_curtailment_sensitivity,rigid,True,1,201.000783984,0.2,100,100,True,909.144683919,1187.55192502,909.144683919,1403.19875835,981.384161973,1187.16870705,1362.77935005
