community_profile_case,profile_id,climate_zone,scenario_id,scenario_hash,episode_seed,dc_operation,bess_enabled,dc_scale_of_reference_mix,maximum_pv_curtailment_fraction,status,pv_rated_kw,total_community_load_kwh,total_pv_available_kwh,total_pv_used_kwh,maximum_pcc_import_kw,deadline_miss_fraction,terminal_backlog_fraction
climate_3c,eulp_mixed_3c,3C,hourly_seed_10004,9f839b50b84b5c78a6430aa4f011ec91b131d686e9e6e62447226367fb823f71,10004,rigid,False,1,0.05,optimal,824.018340506,81065.2310264,26303.0626776,24987.9095438,685.891006973,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10004,9f839b50b84b5c78a6430aa4f011ec91b131d686e9e6e62447226367fb823f71,10004,flexible,True,1,0.05,optimal,964.785829298,81065.2310264,30796.4287821,29256.607343,689.817308264,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10004,9f839b50b84b5c78a6430aa4f011ec91b131d686e9e6e62447226367fb823f71,10004,rigid,True,1,0.05,optimal,909.866638622,81065.2310264,29043.3817399,27591.2126529,685.891006973,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10005,d3f6792408881f15b9ce701d25a968fef99b34e4937f3592842410753189b840,10005,flexible,False,1,0.05,optimal,833.628345013,91153.2111991,57937.6108709,55040.7303273,768.240292925,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10005,d3f6792408881f15b9ce701d25a968fef99b34e4937f3592842410753189b840,10005,rigid,False,1,0.05,optimal,795.477998463,91153.2111991,55286.1416085,52521.8345281,770.270792407,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10005,d3f6792408881f15b9ce701d25a968fef99b34e4937f3592842410753189b840,10005,flexible,True,1,0.05,optimal,890.847253978,91153.2111991,61914.3553061,58818.6375408,796.527575141,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10005,d3f6792408881f15b9ce701d25a968fef99b34e4937f3592842410753189b840,10005,rigid,True,1,0.05,optimal,856.576135617,91153.2111991,59532.4944546,56555.8697318,769.924898116,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10006,e0321782e721e72e22d7a00d72ab9a2f623ce49dd5ca7fcab6f7e534673e1a4c,10006,flexible,False,1,0.05,optimal,700.496322161,78036.8893321,36512.3585915,34686.7406619,700.519261077,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10006,e0321782e721e72e22d7a00d72ab9a2f623ce49dd5ca7fcab6f7e534673e1a4c,10006,rigid,False,1,0.05,optimal,648.251024846,78036.8893321,33789.1479622,32099.6905641,681.00302067,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10006,e0321782e721e72e22d7a00d72ab9a2f623ce49dd5ca7fcab6f7e534673e1a4c,10006,flexible,True,1,0.05,optimal,769.475254762,78036.8893321,40107.7857804,38102.3964913,675.862005755,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10006,e0321782e721e72e22d7a00d72ab9a2f623ce49dd5ca7fcab6f7e534673e1a4c,10006,rigid,True,1,0.05,optimal,710.070318978,78036.8893321,37011.3893414,35160.8198743,681.00302067,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10007,7234d7dc1b43118d210fdfe8cc27a406eda63436c15a965e37a3dbf17d6201c9,10007,flexible,False,1,0.05,optimal,746.804602359,80516.4799419,51495.3506971,48920.5831622,852.921636067,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10007,7234d7dc1b43118d210fdfe8cc27a406eda63436c15a965e37a3dbf17d6201c9,10007,rigid,False,1,0.05,optimal,711.238566029,80516.4799419,49042.9213629,46590.7752948,815.860283631,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10007,7234d7dc1b43118d210fdfe8cc27a406eda63436c15a965e37a3dbf17d6201c9,10007,flexible,True,1,0.05,optimal,803.213273631,80516.4799419,55384.9682762,52615.7198624,860.792393883,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10007,7234d7dc1b43118d210fdfe8cc27a406eda63436c15a965e37a3dbf17d6201c9,10007,rigid,True,1,0.05,optimal,768.739464158,80516.4799419,53007.852625,50357.4599937,815.377468055,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10008,9baf929554ad5f86abbeee1ed7ba6d3963e5646d628e0014c6c6b8a746c4e1bc,10008,flexible,False,1,0.05,optimal,820.022779443,88521.616331,55846.1400578,53053.8330549,771.449960208,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10008,9baf929554ad5f86abbeee1ed7ba6d3963e5646d628e0014c6c6b8a746c4e1bc,10008,rigid,False,1,0.05,optimal,777.411003105,88521.616331,52944.1435656,50296.9363873,755.051171244,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10008,9baf929554ad5f86abbeee1ed7ba6d3963e5646d628e0014c6c6b8a746c4e1bc,10008,flexible,True,1,0.05,optimal,881.984856477,88521.616331,60065.9531155,57062.6554597,795.504859363,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10008,9baf929554ad5f86abbeee1ed7ba6d3963e5646d628e0014c6c6b8a746c4e1bc,10008,rigid,True,1,0.05,optimal,842.289378851,88521.616331,57362.5657722,54494.4374836,754.656754314,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10009,30c65c16b38feb6ecd142d71bee362cb4127be2d545d1f47dc6a006dc29dc17b,10009,flexible,False,1,0.05,optimal,731.803117714,68342.671298,40755.1675837,38717.4092045,646.913783448,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10009,30c65c16b38feb6ecd142d71bee362cb4127be2d545d1f47dc6a006dc29dc17b,10009,rigid,False,1,0.05,optimal,712.69651011,68342.671298,39691.0931407,37706.5384837,626.688597984,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10009,30c65c16b38feb6ecd142d71bee362cb4127be2d545d1f47dc6a006dc29dc17b,10009,flexible,True,1,0.05,optimal,792.768647965,68342.671298,44150.4256006,41942.9043206,645.027772799,0.00703956282909,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10009,30c65c16b38feb6ecd142d71bee362cb4127be2d545d1f47dc6a006dc29dc17b,10009,rigid,True,1,0.05,optimal,775.858499003,68342.671298,43208.6750967,41048.2413419,626.685215132,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10010,02896fc9ada0a675cc072581340c260366e609aa4679460e9e9c951c1a6136a3,10010,flexible,False,1,0.05,optimal,680.486877858,68353.0070055,35067.7833104,33314.3941448,642.280844017,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10010,02896fc9ada0a675cc072581340c260366e609aa4679460e9e9c951c1a6136a3,10010,rigid,False,1,0.05,optimal,624.373484825,68353.0070055,32176.0709619,30567.2674138,611.478447059,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10010,02896fc9ada0a675cc072581340c260366e609aa4679460e9e9c951c1a6136a3,10010,flexible,True,1,0.05,optimal,750.512053961,68353.0070055,38676.4167488,36742.5959113,638.267177398,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10010,02896fc9ada0a675cc072581340c260366e609aa4679460e9e9c951c1a6136a3,10010,rigid,True,1,0.05,optimal,688.172531413,68353.0070055,35463.8509528,33690.6584052,611.478447059,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10011,b1577c8315d0be45922593574d102b985e9bee6df721affdf172206ae982e07e,10011,flexible,False,1,0.05,optimal,671.329743838,72630.8439066,39888.0739499,37893.6702524,721.812026688,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10011,b1577c8315d0be45922593574d102b985e9bee6df721affdf172206ae982e07e,10011,rigid,False,1,0.05,optimal,643.94422366,72630.8439066,38260.9217731,36347.8756845,711.55121451,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10011,b1577c8315d0be45922593574d102b985e9bee6df721affdf172206ae982e07e,10011,flexible,True,1,0.05,optimal,732.412447801,72630.8439066,43517.3953603,41341.5255923,701.052929194,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10011,b1577c8315d0be45922593574d102b985e9bee6df721affdf172206ae982e07e,10011,rigid,True,1,0.05,optimal,706.81605083,72630.8439066,41996.5466497,39896.7193173,710.495797294,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10012,759d5dfb6a7ec935a8a589527e81394353add90a8393b8ed72eb21e6111758cb,10012,flexible,False,1,0.05,optimal,875.874323506,81065.2310264,27958.3306541,26560.4141214,699.848994425,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10012,759d5dfb6a7ec935a8a589527e81394353add90a8393b8ed72eb21e6111758cb,10012,rigid,False,1,0.05,optimal,813.021153781,81065.2310264,25952.0271758,24654.425817,695.398967855,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10012,759d5dfb6a7ec935a8a589527e81394353add90a8393b8ed72eb21e6111758cb,10012,flexible,True,1,0.05,optimal,964.585799617,81065.2310264,30790.0437383,29250.5415513,729.533632641,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10012,759d5dfb6a7ec935a8a589527e81394353add90a8393b8ed72eb21e6111758cb,10012,rigid,True,1,0.05,optimal,896.350839951,81065.2310264,28611.9509305,27181.353384,695.398967855,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10013,f4a00ecb6f0f8db032a1200ce646f8fd4a1c0f4717a5fe49b2cce1d5987c498b,10013,flexible,False,1,0.05,optimal,819.64737114,81258.5423699,30223.2804516,28712.116429,703.413493964,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10013,f4a00ecb6f0f8db032a1200ce646f8fd4a1c0f4717a5fe49b2cce1d5987c498b,10013,rigid,False,1,0.05,optimal,728.460619496,81258.5423699,26860.9043061,25517.8590908,695.110529824,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10013,f4a00ecb6f0f8db032a1200ce646f8fd4a1c0f4717a5fe49b2cce1d5987c498b,10013,flexible,True,1,0.05,optimal,899.227883838,81258.5423699,33157.6937595,31499.8090716,690.766742037,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10013,f4a00ecb6f0f8db032a1200ce646f8fd4a1c0f4717a5fe49b2cce1d5987c498b,10013,rigid,True,1,0.05,optimal,811.494551259,81258.5423699,29922.6573173,28426.5244514,695.110529824,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10014,35dea0183d0e1554fc9e54a6ded1c068f5c52ea2832d3ca99cffe7dea84f010d,10014,flexible,False,1,0.05,optimal,695.077660418,78418.5905654,34774.5260356,33035.7997338,695.411667107,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10014,35dea0183d0e1554fc9e54a6ded1c068f5c52ea2832d3ca99cffe7dea84f010d,10014,rigid,False,1,0.05,optimal,647.212257262,78418.5905654,32379.8343298,30760.8426133,664.841385831,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10014,35dea0183d0e1554fc9e54a6ded1c068f5c52ea2832d3ca99cffe7dea84f010d,10014,flexible,True,1,0.05,optimal,769.847305116,78418.5905654,38515.2288437,36589.4674016,695.657814957,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10014,35dea0183d0e1554fc9e54a6ded1c068f5c52ea2832d3ca99cffe7dea84f010d,10014,rigid,True,1,0.05,optimal,718.039745141,78418.5905654,35923.3122195,34127.1466085,664.841385831,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10015,bc805b6c55665d286bb450d265b380902c09e57053ecfc0c41465a2555963488,10015,flexible,False,1,0.05,optimal,686.130065686,68669.7767,43293.7555285,41129.067752,640.33235837,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10015,bc805b6c55665d286bb450d265b380902c09e57053ecfc0c41465a2555963488,10015,rigid,False,1,0.05,optimal,642.724996813,68669.7767,40554.9622085,38527.2140981,635.239958297,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10015,bc805b6c55665d286bb450d265b380902c09e57053ecfc0c41465a2555963488,10015,flexible,True,1,0.05,optimal,752.870860238,68669.7767,47504.9973726,45129.7475039,649.022254541,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10015,bc805b6c55665d286bb450d265b380902c09e57053ecfc0c41465a2555963488,10015,rigid,True,1,0.05,optimal,707.643511212,68669.7767,44651.220968,42418.6599196,631.141055201,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10016,4f55e7f6444e69a1dda74330e91f2c9298ab461be173197f2f91ac19711e9392,10016,flexible,False,1,0.05,optimal,691.929359562,72988.1500157,43107.5340932,40952.1573885,699.4535873,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10016,4f55e7f6444e69a1dda74330e91f2c9298ab461be173197f2f91ac19711e9392,10016,rigid,False,1,0.05,optimal,645.576416544,72988.1500157,40219.7233017,38208.7371366,665.32039187,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10016,4f55e7f6444e69a1dda74330e91f2c9298ab461be173197f2f91ac19711e9392,10016,flexible,True,1,0.05,optimal,753.50606812,72988.1500157,46943.7928482,44596.6032058,700.801504241,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10016,4f55e7f6444e69a1dda74330e91f2c9298ab461be173197f2f91ac19711e9392,10016,rigid,True,1,0.05,optimal,710.464790743,72988.1500157,44262.3004295,42049.185408,663.544916014,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10017,43ddf8f7117dd1b015cb2aae8e3368f6b03e29dd38b515715ff31cb9baf29ec8,10017,flexible,False,1,0.05,optimal,730.320456386,77019.8272656,50392.8794133,47873.2354426,778.597123793,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10017,43ddf8f7117dd1b015cb2aae8e3368f6b03e29dd38b515715ff31cb9baf29ec8,10017,rigid,False,1,0.05,optimal,690.816042986,77019.8272656,47667.0333503,45283.6816828,730.293173434,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10017,43ddf8f7117dd1b015cb2aae8e3368f6b03e29dd38b515715ff31cb9baf29ec8,10017,flexible,True,1,0.05,optimal,792.692630266,77019.8272656,54696.6249946,51961.7937449,769.221387508,0.00961645905491,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10017,43ddf8f7117dd1b015cb2aae8e3368f6b03e29dd38b515715ff31cb9baf29ec8,10017,rigid,True,1,0.05,optimal,747.576512273,77019.8272656,51583.5654141,49004.3871434,725.863542281,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10018,faaddd516ebb9ca57c28098d5f37d6cdbba8c981392d58e1bc72da6ba235730a,10018,flexible,False,1,0.05,optimal,743.035408439,73930.3283269,32476.0891749,30852.2847162,631.86541111,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10018,faaddd516ebb9ca57c28098d5f37d6cdbba8c981392d58e1bc72da6ba235730a,10018,rigid,False,1,0.05,optimal,689.756623753,73930.3283269,30147.4160822,28640.0452781,642.859776129,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10018,faaddd516ebb9ca57c28098d5f37d6cdbba8c981392d58e1bc72da6ba235730a,10018,flexible,True,1,0.05,optimal,821.876170839,73930.3283269,35922.0079041,34125.9075089,619.503747831,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10018,faaddd516ebb9ca57c28098d5f37d6cdbba8c981392d58e1bc72da6ba235730a,10018,rigid,True,1,0.05,optimal,765.279149691,73930.3283269,33448.3035759,31775.8883971,642.859776129,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10019,1b9fe1f49b7e5ed8bd3de7ed52cd46a9c1db1d5620d1b834dead2cd3f99e8fb0,10019,flexible,False,1,0.05,optimal,883.164432003,80235.032589,32470.2913331,30846.7767665,688.379627005,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10019,1b9fe1f49b7e5ed8bd3de7ed52cd46a9c1db1d5620d1b834dead2cd3f99e8fb0,10019,rigid,False,1,0.05,optimal,826.692676597,80235.032589,30394.0592254,28874.3562642,686.837622419,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10019,1b9fe1f49b7e5ed8bd3de7ed52cd46a9c1db1d5620d1b834dead2cd3f99e8fb0,10019,flexible,True,1,0.05,optimal,976.232091685,80235.032589,35892.0029806,34097.4028315,698.259584641,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10019,1b9fe1f49b7e5ed8bd3de7ed52cd46a9c1db1d5620d1b834dead2cd3f99e8fb0,10019,rigid,True,1,0.05,optimal,919.780282289,80235.032589,33816.5042049,32125.6789946,726.357474481,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10020,5db1cdf83718b786cf6e8d4f7de669420c3095320ff2319d3de0f677e0543883,10020,flexible,False,1,0.05,optimal,668.809244934,72252.3221393,41278.9797246,39215.0307384,657.783553418,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10020,5db1cdf83718b786cf6e8d4f7de669420c3095320ff2319d3de0f677e0543883,10020,rigid,False,1,0.05,optimal,621.269028463,72252.3221393,38344.792366,36427.5527477,620.214063609,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10020,5db1cdf83718b786cf6e8d4f7de669420c3095320ff2319d3de0f677e0543883,10020,flexible,True,1,0.05,optimal,728.608790964,72252.3221393,44969.8142441,42721.3235319,660.202404746,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10020,5db1cdf83718b786cf6e8d4f7de669420c3095320ff2319d3de0f677e0543883,10020,rigid,True,1,0.05,optimal,681.597932852,72252.3221393,42068.2989413,39964.8839942,618.905071851,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10021,0d8c93e3c41fabdb55fabf341625aab4696a7883f4c43c5184f8a75326e15e40,10021,flexible,False,1,0.05,optimal,696.326385348,76555.3985775,37738.2109343,35851.3003876,673.12077776,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10021,0d8c93e3c41fabdb55fabf341625aab4696a7883f4c43c5184f8a75326e15e40,10021,rigid,False,1,0.05,optimal,651.034289742,76555.3985775,35283.5536161,33519.3759353,668.510881459,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10021,0d8c93e3c41fabdb55fabf341625aab4696a7883f4c43c5184f8a75326e15e40,10021,flexible,True,1,0.05,optimal,765.296957349,76555.3985775,41476.1505689,39402.3430405,676.689878536,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10021,0d8c93e3c41fabdb55fabf341625aab4696a7883f4c43c5184f8a75326e15e40,10021,rigid,True,1,0.05,optimal,717.214608199,76555.3985775,38870.2722443,36926.7586321,668.510881459,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10022,84757efbca7d291867b9d8d90ad4d444c00da2b027bebb354b01b586ebe4f43a,10022,flexible,False,1,0.05,optimal,747.832498675,80516.4799419,51566.2285158,48987.91709,853.299985926,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10022,84757efbca7d291867b9d8d90ad4d444c00da2b027bebb354b01b586ebe4f43a,10022,rigid,False,1,0.05,optimal,711.423150162,80516.4799419,49055.6492232,46602.866762,819.7807042,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10022,84757efbca7d291867b9d8d90ad4d444c00da2b027bebb354b01b586ebe4f43a,10022,flexible,True,1,0.05,optimal,804.616278958,80516.4799419,55481.7114552,52707.6258825,861.301939119,0.0069892676494,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10022,84757efbca7d291867b9d8d90ad4d444c00da2b027bebb354b01b586ebe4f43a,10022,rigid,True,1,0.05,optimal,768.892073143,80516.4799419,53018.3756629,50367.4568798,819.298157108,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10023,f46925908462c13f3e73560d12325633cd3a7b08d4a445dc0cda52bcec151f24,10023,flexible,False,1,0.05,optimal,821.629869655,81258.5423699,30296.3821422,28781.5630351,676.929004367,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10023,f46925908462c13f3e73560d12325633cd3a7b08d4a445dc0cda52bcec151f24,10023,rigid,False,1,0.05,optimal,725.377299238,81258.5423699,26747.2114472,25409.8508749,695.497971015,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10023,f46925908462c13f3e73560d12325633cd3a7b08d4a445dc0cda52bcec151f24,10023,flexible,True,1,0.05,optimal,900.655999429,81258.5423699,33210.3534026,31549.8357325,690.766742037,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10023,f46925908462c13f3e73560d12325633cd3a7b08d4a445dc0cda52bcec151f24,10023,rigid,True,1,0.05,optimal,808.627888184,81258.5423699,29816.9533705,28326.105702,695.497971015,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10024,2b1b6fae6f7206d1edb2ea49ce93daf6dfd869547da9751ba57d73be6e40e58c,10024,flexible,False,1,0.05,optimal,731.708020709,77693.596445,37221.611733,35360.5311464,666.295958182,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10024,2b1b6fae6f7206d1edb2ea49ce93daf6dfd869547da9751ba57d73be6e40e58c,10024,rigid,False,1,0.05,optimal,688.157295772,77693.596445,35006.2086919,33255.8982573,679.050779278,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10024,2b1b6fae6f7206d1edb2ea49ce93daf6dfd869547da9751ba57d73be6e40e58c,10024,flexible,True,1,0.05,optimal,802.868601607,77693.596445,40841.5139862,38799.4382869,684.430185469,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10024,2b1b6fae6f7206d1edb2ea49ce93daf6dfd869547da9751ba57d73be6e40e58c,10024,rigid,True,1,0.05,optimal,761.854071447,77693.596445,38755.1258727,36817.369579,679.050779278,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10025,e68e9f52972b5179220c7698f0c666edf11966c9062433300ecd21f52257c215,10025,flexible,False,1,0.05,optimal,799.078653749,82857.2849311,54412.0376605,51691.4357774,807.303842578,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10025,e68e9f52972b5179220c7698f0c666edf11966c9062433300ecd21f52257c215,10025,rigid,False,1,0.05,optimal,757.892166895,82857.2849311,51607.5068883,49027.1315439,780.804898129,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10025,e68e9f52972b5179220c7698f0c666edf11966c9062433300ecd21f52257c215,10025,flexible,True,1,0.05,optimal,859.189255333,82857.2849311,58505.1770553,55579.9182025,796.287035571,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10025,e68e9f52972b5179220c7698f0c666edf11966c9062433300ecd21f52257c215,10025,rigid,True,1,0.05,optimal,820.144932747,82857.2849311,55846.5136796,53054.1879956,780.265448371,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10026,0d075e19c0154409e3adb21507dbfe989c704079a74373d7843d5cf16b8ed217,10026,flexible,False,1,0.05,optimal,883.037662259,80235.032589,32465.6305357,30842.3490089,688.207652169,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10026,0d075e19c0154409e3adb21507dbfe989c704079a74373d7843d5cf16b8ed217,10026,rigid,False,1,0.05,optimal,834.997551959,80235.032589,30699.3950301,29164.4252786,668.978782541,0,0
