evaluation_split,scenario_id,scenario_hash,episode_seed,analysis_variant,dc_operation,bess_enabled,dc_scale_of_reference_mix,maximum_pv_curtailment_fraction,status,target_dc_peak_kw,reference_mix_operating_peak_kw,pcc_capacity_kw,pv_rated_kw,total_community_load_kwh,total_dc_energy_kwh,total_pv_available_kwh,total_pv_used_kwh,total_pv_curtailed_kwh,pv_utilisation_fraction,renewable_demand_share,total_grid_import_kwh,maximum_pcc_import_kw,hours_near_pcc_limit,near_pcc_limit_fraction,total_bess_charge_kwh,total_bess_discharge_kwh,total_bess_throughput_kwh,maximum_simultaneous_bess_charge_discharge_kw,terminal_soc_deviation_kwh,deadline_miss_gpu_h,deadline_miss_fraction,terminal_backlog_gpu_h,terminal_backlog_fraction
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,headline_pv_hosting_envelope,flexible,True,1,0.05,optimal,201.000783984,201.000783984,1000,776.560392131,67297.371465,34706.4231083,53250.6256021,50588.094322,2662.53128011,0.95,0.495943259108,51667.5532944,624.676810762,0,0.95,2583.10813528,2331.25509209,4914.36322737,0,0,471.744,0.01,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,headline_pv_hosting_envelope,rigid,True,1,0.05,optimal,201.000783984,201.000783984,1000,744.224736703,67297.371465,34856.8566521,51033.2914473,48481.6268749,2551.66457236,0.95,0.474592464439,53939.2882283,628.787148125,0,0.95,2735.25114018,2468.56415401,5203.81529418,0,0,0,0,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,headline_pv_hosting_envelope,flexible,False,2,0.05,optimal,402.001567968,201.000783984,1000,978.234917603,67297.371465,69416.9242033,67079.9359278,63725.9391314,3353.99679639,0.95,0.466124912687,72988.3565368,811.197102627,0,0.95,0,0,0,0,0,943.488,0.01,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,headline_pv_hosting_envelope,rigid,False,2,0.05,optimal,402.001567968,201.000783984,1000,899.589305532,67297.371465,69713.7133042,61687.0159617,58602.6651636,3084.35079808,0.95,0.427722072724,78408.4196056,822.802372043,0,0.95,0,0,0,0,0,0,0,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,headline_pv_hosting_envelope,flexible,True,2,0.05,optimal,402.001567968,201.000783984,1000,1033.80992155,67297.371465,69416.9402199,70890.8484569,67346.306034,3544.54242284,0.95,0.492606115658,69646.8758543,812.243336382,0,0.95,2860.20721405,2581.33701068,5441.54422473,8.10018718767e-14,0,943.488,0.01,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,headline_pv_hosting_envelope,rigid,True,2,0.05,optimal,402.001567968,201.000783984,1000,959.672442599,67297.371465,69713.7133042,65807.0620899,62516.7089854,3290.3531045,0.95,0.456289424252,74766.7201858,820.506611395,0,0.95,2793.27591766,2520.93151569,5314.20743335,0,0,0,0,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,headline_pv_hosting_envelope,flexible,False,3,0.05,optimal,603.002351952,201.000783984,1000,1228.21491445,67297.371465,104109.02014,84221.6693394,80010.5858724,4211.08346697,0.95,0.4667888118,91395.8057329,997.104420255,4,0.95,0,0,0,0,0,1415.232,0.01,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,headline_pv_hosting_envelope,rigid,False,3,0.05,infeasible,,,,,,,,,,,,,,,,,,,,,,,,
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,headline_pv_hosting_envelope,flexible,True,3,0.05,optimal,603.002351952,201.000783984,1000,1282.86780179,67297.371465,104116.350865,87969.3501016,83570.8825965,4398.46750508,0.95,0.487539045654,88135.0944939,1000,11,0.95,2997.48472719,2705.22996629,5702.71469348,4.26325641456e-14,0,1415.232,0.01,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,headline_pv_hosting_envelope,rigid,True,3,0.05,optimal,603.002351952,201.000783984,1000,1167.72854496,67297.371465,104570.569956,80073.9725883,76070.2739589,4003.69862941,0.95,0.442608861954,96059.7556705,1000,1,0.95,2688.08418501,2425.99597697,5114.08016198,6.24819653853e-12,0,0,0,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,pv_curtailment_sensitivity,flexible,False,1,0,optimal,201.000783984,201.000783984,1000,506.351188972,67297.371465,34702.5720429,34721.7265526,34721.7265526,0,1,0.340409272383,67278.2169553,639.95119891,0,0.95,0,0,0,0,0,471.744,0.01,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,pv_curtailment_sensitivity,rigid,False,1,0,optimal,201.000783984,201.000783984,1000,494.124036791,67297.371465,34856.8566521,33883.2811341,33883.2811341,0,1,0.33168750583,68270.946983,638.343429187,0,0.95,0,0,0,0,0,0,0,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,pv_curtailment_sensitivity,flexible,True,1,0,optimal,201.000783984,201.000783984,1000,591.130535375,67297.371465,34705.5779158,40535.2515274,40535.2515274,0,1,0.397392935925,61497.9741692,635.826126747,0,0.95,310.526315789,280.25,590.776315789,0,0,471.744,0.01,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,pv_curtailment_sensitivity,rigid,True,1,0,optimal,201.000783984,201.000783984,1000,581.169692213,67297.371465,34856.8566521,39852.2124035,39852.2124035,0,1,0.390118090441,62351.1910624,635.017437902,0,0.95,504.362551759,455.187202963,959.549754722,0,0,0,0,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,pv_curtailment_sensitivity,flexible,False,1,0.05,optimal,201.000783984,201.000783984,1000,720.242583506,67297.371465,34703.7060441,49388.7771584,46919.3383005,2469.43885792,0.95,0.459988653515,55081.7392086,631.582865198,0,0.95,0,0,0,0,0,471.744,0.01,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,pv_curtailment_sensitivity,rigid,False,1,0.05,optimal,201.000783984,201.000783984,1000,687.012790383,67297.371465,34856.8566521,47110.1298177,44754.6233268,2355.50649088,0.95,0.438108379376,57399.6047903,630.97320134,0,0.95,0,0,0,0,0,0,0,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,pv_curtailment_sensitivity,flexible,True,1,0.05,optimal,201.000783984,201.000783984,1000,776.560392131,67297.371465,34706.4231083,53250.6256021,50588.094322,2662.53128011,0.95,0.495943259108,51667.5532944,624.676810762,0,0.95,2583.10813528,2331.25509209,4914.36322737,0,0,471.744,0.01,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,pv_curtailment_sensitivity,rigid,True,1,0.05,optimal,201.000783984,201.000783984,1000,744.224736703,67297.371465,34856.8566521,51033.2914473,48481.6268749,2551.66457236,0.95,0.474592464439,53939.2882283,628.787148125,0,0.95,2735.25114018,2468.56415401,5203.81529418,0,0,0,0,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,pv_curtailment_sensitivity,flexible,False,1,0.1,optimal,201.000783984,201.000783984,1000,801.044474976,67297.371465,34703.1173881,54929.5584218,49436.6025797,5492.95584218,0.9,0.484670251442,52563.8862735,622.220174214,0,0.95,0,0,0,0,0,471.744,0.01,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,pv_curtailment_sensitivity,rigid,False,1,0.1,optimal,201.000783984,201.000783984,1000,761.87989558,67297.371465,34856.8566521,52243.9484224,47019.5535801,5224.39484224,0.9,0.460280053472,55134.674537,628.112549212,0,0.95,0,0,0,0,0,0,0,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,pv_curtailment_sensitivity,flexible,True,1,0.1,optimal,201.000783984,201.000783984,1000,852.60332232,67297.371465,34704.585961,58465.0733723,52618.5660351,5846.50733723,0.9,0.515858394907,49697.0887292,621.021689728,0,0.95,3217.40859869,2903.71126032,6121.11985901,1.75504055733e-13,0,471.744,0.01,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,pv_curtailment_sensitivity,rigid,True,1,0.1,optimal,201.000783984,201.000783984,1000,816.274790005,67297.371465,34856.8566521,55973.9379853,50376.5441868,5597.39379853,0.9,0.49314203744,52091.5573087,626.034134798,0,0.95,3219.21413702,2905.34075866,6124.55489568,2.59033608152e-12,0,0,0,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,pv_curtailment_sensitivity,flexible,False,1,0.2,optimal,201.000783984,201.000783984,1000,960.69097736,67297.371465,34702.9659868,65876.9054837,52701.5243869,13175.3810967,0.8,0.516679902278,49298.8130649,616.120123922,0,0.95,0,0,0,0,0,471.744,0.01,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,pv_curtailment_sensitivity,rigid,False,1,0.2,optimal,201.000783984,201.000783984,1000,916.418231182,67297.371465,34856.8566521,62841.0161246,50272.8128997,12568.2032249,0.8,0.492126599421,51881.4152174,622.207680611,0,0.95,0,0,0,0,0,0,0,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,pv_curtailment_sensitivity,flexible,True,1,0.2,optimal,201.000783984,201.000783984,1000,1014.85791382,67297.371465,34702.6541775,69591.2634172,55673.0107338,13918.2526834,0.8,0.545813693508,46731.6910579,635.713878469,0,0.95,4150.52460711,3745.84845791,7896.37306502,4.68958205602e-13,0,471.744,0.01,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,pv_curtailment_sensitivity,rigid,True,1,0.2,optimal,201.000783984,201.000783984,1000,971.651285346,67297.371465,34856.8566521,66628.4803296,53302.7842636,13325.6960659,0.8,0.521787352772,49244.2279956,620.097240338,0,0.95,4028.55530433,3635.77116216,7664.32646649,2.63344901441e-13,0,0,0,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,fixed_capacity_pv_operation,flexible,False,1,,optimal,201.000783984,201.000783984,1000,500,43474.5091532,34694.9051167,26279.904638,26065.7661137,214.138524323,0.991851624758,0.333452237773,52103.6481562,468.924643058,0,0.95,0,0,0,0,0,471.744,0.01,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,fixed_capacity_pv_operation,rigid,False,1,,optimal,201.000783984,201.000783984,1000,500,43474.5091532,34856.8566521,26279.904638,25608.8442061,671.060431934,0.974464883295,0.326929627012,52722.5215992,443.722225718,0,0.95,0,0,0,0,0,0,0,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,fixed_capacity_pv_operation,flexible,True,1,,optimal,201.000783984,201.000783984,1000,500,43474.5091532,34694.9051177,26279.904638,26279.904628,9.9999961094e-06,0.999999999619,0.336191653387,51910.388147,469.914404882,0,0.95,214.138504323,193.260000152,407.398504475,0,0,471.744,0.01,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,fixed_capacity_pv_operation,rigid,True,1,,optimal,201.000783984,201.000783984,1000,500,43474.5091532,34856.8566521,26279.904638,26197.451744,82.4528940553,0.996862511672,0.334443954534,52192.2089228,443.722225718,0,0.95,597.896015053,539.601153586,1137.49716864,0,0,0,0,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,headline_pv_hosting_envelope,flexible,False,0.5,0.05,optimal,100.500391992,201.000783984,1000,467.637209133,43474.5091532,17352.3800938,24578.9225224,23349.9763963,1228.94612612,0.95,0.383875892477,37476.9128507,374.506685397,0,0.95,0,0,0,0,0,235.872,0.01,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,headline_pv_hosting_envelope,rigid,False,0.5,0.05,optimal,100.500391992,201.000783984,1000,444.027656333,43474.5091532,17428.4283261,23338.0089301,22171.1084836,1166.90044651,0.95,0.36404005129,38731.8289956,356.48612137,0,0.95,0,0,0,0,0,0,0,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,headline_pv_hosting_envelope,flexible,True,0.5,0.05,optimal,100.500391992,201.000783984,1000,522.787466532,43474.5091532,17349.36266,27477.6095329,26103.7290562,1373.88047664,0.95,0.42916914491,34877.6927262,372.019824949,0,0.95,1615.89712043,1458.34715119,3074.24427161,3.04114029488e-13,0,235.872,0.01,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,headline_pv_hosting_envelope,rigid,True,0.5,0.05,optimal,100.500391992,201.000783984,1000,500.571672235,43474.5091532,17428.4283261,26309.9516217,24994.4540406,1315.49758108,0.95,0.410398169203,36077.1939714,356.48612137,0,0.95,1730.36443825,1561.65390552,3292.01834377,1.08002495836e-13,0,0,0,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,headline_pv_hosting_envelope,flexible,False,1,0.05,optimal,201.000783984,201.000783984,1000,600.441103063,43474.5091532,34702.653867,31559.0698585,29981.1163656,1577.95349293,0.95,0.383502230157,48196.0466546,472.512070607,0,0.95,0,0,0,0,0,471.744,0.01,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,headline_pv_hosting_envelope,rigid,False,1,0.05,optimal,201.000783984,201.000783984,1000,548.820856391,43474.5091532,34856.8566521,28845.9195387,27403.6235617,1442.29597693,0.95,0.349842279399,50927.7422436,443.722225718,0,0.95,0,0,0,0,0,0,0,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,headline_pv_hosting_envelope,flexible,True,1,0.05,optimal,201.000783984,201.000783984,1000,651.703117073,43474.5091532,34697.5295123,34253.391538,32540.7219611,1712.6695769,0.95,0.416270606685,45780.7110091,468.121625088,0,0.95,1532.24927878,1382.85497409,2915.10425287,0,0,471.744,0.01,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,headline_pv_hosting_envelope,rigid,True,1,0.05,optimal,201.000783984,201.000783984,1000,602.83573743,43474.5091532,34856.8566521,31684.9313841,30100.6848149,1584.24656921,0.95,0.384273713415,48376.6764968,443.722225718,0,0.95,1497.38980937,1351.39430296,2848.78411233,1.07539200123e-12,0,0,0,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,headline_pv_hosting_envelope,flexible,False,2,0.05,optimal,402.001567968,201.000783984,1000,854.028487696,43474.5091532,69408.5394437,44887.5744296,42643.1957081,2244.37872148,0.95,0.377764387463,70239.8528888,667.964623089,0,0.95,0,0,0,0,0,943.488,0.01,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,headline_pv_hosting_envelope,rigid,False,2,0.05,optimal,402.001567968,201.000783984,1000,744.909038322,43474.5091532,69713.7133042,39152.2769823,37194.6631331,1957.61384911,0.95,0.328608951758,75993.5593243,633.622431878,0,0.95,0,0,0,0,0,0,0,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,headline_pv_hosting_envelope,flexible,True,2,0.05,optimal,402.001567968,201.000783984,1000,904.690157752,43474.5091532,69396.7113931,47550.3421454,45172.8250381,2377.51710727,0.95,0.40021561581,67837.5653367,661.941318138,0,0.95,1427.38285642,1288.21302792,2715.59588434,0,0,943.488,0.01,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,headline_pv_hosting_envelope,rigid,True,2,0.05,optimal,402.001567968,201.000783984,1000,803.528557699,43474.5091532,69713.7133042,42233.3077406,40121.6423535,2111.66538703,0.95,0.354468349113,73220.7694239,632.133040949,0,0.95,1581.4289233,1427.23960328,3008.66852657,2.88480350719e-12,0,0,0,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,headline_pv_hosting_envelope,flexible,False,3,0.05,optimal,603.002351952,201.000783984,1000,1104.1541106,43474.5091532,104113.187509,58034.1294644,55132.4229911,2901.70647322,0.95,0.373557039224,92455.2736715,860.95070584,0,0.95,0,0,0,0,0,1415.232,0.01,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,headline_pv_hosting_envelope,rigid,False,3,0.05,optimal,603.002351952,201.000783984,1000,940.271079169,43474.5091532,104570.569956,49420.468589,46949.4451595,2471.02342945,0.95,0.317129386819,101095.63395,829.677798735,0,0.95,0,0,0,0,0,0,0,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,headline_pv_hosting_envelope,flexible,True,3,0.05,optimal,603.002351952,201.000783984,1000,1153.29670922,43474.5091532,104097.343121,60617.0550753,57586.2023216,3030.85275377,0.95,0.390224839181,90105.6620868,868.977042206,0,0.95,1230.89367908,1110.88154537,2341.77522445,0,0,1415.232,0.01,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,headline_pv_hosting_envelope,rigid,True,3,0.05,optimal,603.002351952,201.000783984,1000,999.469407842,43474.5091532,104570.569956,52531.9214535,49905.3253808,2626.59607267,0.95,0.337095469035,98290.1432304,828.173701555,0,0.95,1542.45642713,1392.06692548,2934.52335261,3.63318562705e-12,0,0,0,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,pv_curtailment_sensitivity,flexible,False,1,0,optimal,201.000783984,201.000783984,1000,443.918253557,43474.5091532,34702.6086541,23332.2587411,23332.2587411,0,1,0.298453810981,54844.8590662,476.887259874,0,0.95,0,0,0,0,0,471.744,0.01,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,pv_curtailment_sensitivity,rigid,False,1,0,optimal,201.000783984,201.000783984,1000,411.574970797,43474.5091532,34856.8566521,21632.3019679,21632.3019679,3.63797880709e-12,1,0.276163982914,56699.0638374,443.722225718,0,0.95,0,0,0,0,0,0,0,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,pv_curtailment_sensitivity,flexible,True,1,0,optimal,201.000783984,201.000783984,1000,509.528541538,43474.5091532,34697.4844521,26780.722964,26780.722964,3.63797880709e-12,1,0.342587181532,51441.6709198,470.898778218,0,0.95,516.925933039,466.525654568,983.451587606,7.27736959546e-14,0,471.744,0.01,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,pv_curtailment_sensitivity,rigid,True,1,0,optimal,201.000783984,201.000783984,1000,483.434680898,43474.5091532,34856.8566521,25409.2346254,25409.2346254,0,1,0.324381355594,52985.127369,443.722225718,0,0.95,646.114759932,583.118570839,1229.23333077,0,0,0,0,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,pv_curtailment_sensitivity,flexible,False,1,0.05,optimal,201.000783984,201.000783984,1000,600.441103063,43474.5091532,34702.653867,31559.0698585,29981.1163656,1577.95349293,0.95,0.383502230157,48196.0466546,472.512070607,0,0.95,0,0,0,0,0,471.744,0.01,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,pv_curtailment_sensitivity,rigid,False,1,0.05,optimal,201.000783984,201.000783984,1000,548.820856391,43474.5091532,34856.8566521,28845.9195387,27403.6235617,1442.29597693,0.95,0.349842279399,50927.7422436,443.722225718,0,0.95,0,0,0,0,0,0,0,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,pv_curtailment_sensitivity,flexible,True,1,0.05,optimal,201.000783984,201.000783984,1000,651.703117073,43474.5091532,34697.5295123,34253.391538,32540.7219611,1712.6695769,0.95,0.416270606685,45780.7110091,468.121625088,0,0.95,1532.24927878,1382.85497409,2915.10425287,0,0,471.744,0.01,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,pv_curtailment_sensitivity,rigid,True,1,0.05,optimal,201.000783984,201.000783984,1000,602.83573743,43474.5091532,34856.8566521,31684.9313841,30100.6848149,1584.24656921,0.95,0.384273713415,48376.6764968,443.722225718,0,0.95,1497.38980937,1351.39430296,2848.78411233,1.07539200123e-12,0,0,0,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,pv_curtailment_sensitivity,flexible,False,1,0.1,optimal,201.000783984,201.000783984,1000,688.207715311,43474.5091532,34703.8781946,36172.0662591,32554.8596332,3617.20662591,0.9,0.416417640957,45623.5277146,468.029402394,0,0.95,0,0,0,0,0,471.744,0.01,0,0
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,pv_curtailment_sensitivity,rigid,False,1,0.1,optimal,201.000783984,201.000783984,1000,635.038422329,43474.5091532,34856.8566521,33377.4983606,30039.7485245,3337.74983606,0.9,0.383495783786,48291.6172808,443.722225718,0,0.95,0,0,0,0,0,0,0,0,0
