evaluation_split,dc_operation,bess_enabled,scenario_count,metric,mean,minimum,maximum,q05,q50,q95
validation,rigid,True,100,total_bess_discharge_kwh,20.2203619016,0,352.803513201,0,0,89.3060333357
validation,flexible,False,100,total_grid_import_kwh,81673.9094333,61130.0709376,90775.4171119,66126.8633919,84407.9846407,90070.2494862
validation,rigid,False,100,total_grid_import_kwh,81854.2274035,61574.8010589,90937.3686473,66347.8712009,84569.9361761,90232.2010216
validation,flexible,True,100,total_grid_import_kwh,81665.3969467,60918.2201729,90775.4171119,66059.5090574,84407.9846407,90070.2494862
validation,rigid,True,100,total_grid_import_kwh,81834.3783004,61290.3363478,90937.3686373,66227.2185785,84569.9361661,90232.2010116
validation,flexible,False,100,total_pv_curtailed_kwh,9.43211885989,0,234.737699393,0,0,74.6308515457
validation,rigid,False,100,total_pv_curtailed_kwh,27.7985629377,9.99990879791e-06,517.516285357,9.99995245365e-06,1.00000179373e-05,98.9540735575
validation,flexible,True,100,total_pv_curtailed_kwh,2.70000022283e-06,0,1.00000906968e-05,0,0,1.00000142993e-05
validation,rigid,True,100,total_pv_curtailed_kwh,5.76498861745,0,198.309038637,0,9.99997428153e-06,1.00000106613e-05
validation,flexible,False,100,total_pv_used_kwh,27892.3173629,22892.1728779,33487.9141653,24276.5223222,27412.5423483,32256.5860705
validation,rigid,False,100,total_pv_used_kwh,27873.9509188,22888.5345799,33487.9141553,24276.5223122,27412.5423383,32256.5860605
validation,flexible,True,100,total_pv_used_kwh,27901.749479,22892.1728779,33487.9141553,24280.1014036,27412.5423433,32256.58607
validation,rigid,True,100,total_pv_used_kwh,27895.9844931,22892.1728679,33487.9141553,24280.1014036,27412.5423383,32256.586061
