evaluation_split,scenario_id,scenario_hash,episode_seed,duration_h,recovery_gap_h,event_ordinal,event_start_hour,fixed_capacity_kw,delivered_reduction_kw,fresh_delivered_reduction_kw,delivery_ratio,minimum_interval_delivery_ratio,event_start_backlog_gpu_h,event_start_compute_debt_kwh,fresh_event_start_compute_debt_kwh,paired_compute_debt_increment_kwh,paired_local_service_margin_delta,paired_residual_flexibility_ratio,local_event_success,fresh_local_event_success,failure_labels,fresh_failure_labels
development,hourly_seed_10002,e7fdbed334be932a16f52ad2d11b7ad85b2cf2ae672c9c55f285847bfb0e4cc5,10002,4,2,3,75,44.0003270536,43.9429698459,43.9817518555,0.998696436788,0.99478574715,1670.95937579,505.965808785,93.2065090365,412.759299749,-0.00352561102847,0.999118224992,True,True,,
development,hourly_seed_10002,e7fdbed334be932a16f52ad2d11b7ad85b2cf2ae672c9c55f285847bfb0e4cc5,10002,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2645.8838132,801.354734108,151.795579242,649.559154866,0,1,True,True,,
development,hourly_seed_10003,39418cec7e3eaf3d755bb59617d0a31fa5178b603726524d7e67bb85d9e1bc1d,10003,4,2,1,63,44.0003270536,44.0003270536,44.0003270536,1,1,408.81618116,126.958722521,126.958722521,0,0,1,True,True,,
development,hourly_seed_10003,39418cec7e3eaf3d755bb59617d0a31fa5178b603726524d7e67bb85d9e1bc1d,10003,4,2,2,69,44.0003270536,43.9954063745,43.9954063745,0.999888167216,0.999552668863,859.749378863,262.236166702,83.8470368968,178.389129805,0,1,True,True,,
development,hourly_seed_10003,39418cec7e3eaf3d755bb59617d0a31fa5178b603726524d7e67bb85d9e1bc1d,10003,4,2,3,75,44.0003270536,43.9121659504,43.8514211391,0.997996353457,0.993111417722,1365.07903239,417.479845716,67.1127630379,350.367082678,0.00552221452791,1.00138524157,True,True,,
development,hourly_seed_10003,39418cec7e3eaf3d755bb59617d0a31fa5178b603726524d7e67bb85d9e1bc1d,10003,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2205.86085885,673.089738391,114.669554263,558.420184128,0,1,True,True,,
development,hourly_seed_10004,fad6949766fac271c5489fe4b6ae83206e9d492ba862502287696d8fa963630e,10004,4,2,1,63,44.0003270536,44.0003270536,44.0003270536,1,1,346.273199687,106.213117659,106.213117659,0,0,1,True,True,,
development,hourly_seed_10004,fad6949766fac271c5489fe4b6ae83206e9d492ba862502287696d8fa963630e,10004,4,2,2,69,44.0003270536,43.6951113613,43.6951113613,0.99306333128,0.985525272544,882.895958374,267.730191929,71.6917675809,196.038424348,0,1,True,True,,
development,hourly_seed_10004,fad6949766fac271c5489fe4b6ae83206e9d492ba862502287696d8fa963630e,10004,4,2,3,75,44.0003270536,43.6879697714,43.6879697714,0.992901023626,0.971604094504,1370.72308797,415.70806176,56.3782400761,359.329821684,0,1,True,True,,
development,hourly_seed_10004,fad6949766fac271c5489fe4b6ae83206e9d492ba862502287696d8fa963630e,10004,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2396.1222789,728.812747151,132.671852989,596.140894163,0,1,True,True,,
development,hourly_seed_10005,f928b2a82c16fc4caaf6dbaf0c870e1ac90400a33f09f5959805b71cc8165c98,10005,4,2,1,63,44.0003270536,44.0003270536,44.0003270536,1,1,592.190092531,178.995147395,178.995147395,0,0,1,True,True,,
development,hourly_seed_10005,f928b2a82c16fc4caaf6dbaf0c870e1ac90400a33f09f5959805b71cc8165c98,10005,4,2,2,69,44.0003270536,43.1790896602,43.1790896602,0.98133565252,0.963919587964,800.021675884,238.344787462,56.8433844795,181.501402982,0,1,True,True,,
development,hourly_seed_10005,f928b2a82c16fc4caaf6dbaf0c870e1ac90400a33f09f5959805b71cc8165c98,10005,4,2,3,75,44.0003270536,44.0003270536,44.0003270536,1,1,1433.12034411,429.688403865,83.3180771044,346.370326761,0,1,True,True,,
development,hourly_seed_10005,f928b2a82c16fc4caaf6dbaf0c870e1ac90400a33f09f5959805b71cc8165c98,10005,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2353.67033677,714.762820072,153.140849727,561.621970345,0,1,True,True,,
development,hourly_seed_10006,48049a49934f1d2c1221f4f185cba6411010cddc5bf43842c961288a6d6d02b7,10006,4,2,1,63,44.0003270536,44.0003270536,44.0003270536,1,1,474.434373691,144.195648795,144.195648795,0,0,1,True,True,,
development,hourly_seed_10006,48049a49934f1d2c1221f4f185cba6411010cddc5bf43842c961288a6d6d02b7,10006,4,2,2,69,44.0003270536,43.7091310135,43.7091310135,0.993381957371,0.976613735627,921.141520138,278.205475364,64.5504285609,213.655046803,0,1,True,True,,
development,hourly_seed_10006,48049a49934f1d2c1221f4f185cba6411010cddc5bf43842c961288a6d6d02b7,10006,4,2,3,75,44.0003270536,43.9242193818,43.9242193818,0.998270293043,0.993081172171,1524.58125839,462.634474766,82.0563562181,380.578118548,0,1,True,True,,
development,hourly_seed_10006,48049a49934f1d2c1221f4f185cba6411010cddc5bf43842c961288a6d6d02b7,10006,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2521.24740828,767.184769593,150.346766982,616.838002611,0,1,True,True,,
development,hourly_seed_10007,a4a813964c8acd9a63ec2055e7f5fb5b46f9657e57847a000fcf0d83f959d341,10007,4,2,1,63,44.0003270536,44.0003270536,44.0003270536,1,1,258.159263803,80.0574900836,80.0574900836,0,0,1,True,True,,
development,hourly_seed_10007,a4a813964c8acd9a63ec2055e7f5fb5b46f9657e57847a000fcf0d83f959d341,10007,4,2,2,69,44.0003270536,43.6551165015,43.6551165015,0.992154363951,0.977194957819,797.213680064,240.25490141,68.7851317538,171.469769656,0,1,True,True,,
development,hourly_seed_10007,a4a813964c8acd9a63ec2055e7f5fb5b46f9657e57847a000fcf0d83f959d341,10007,4,2,3,75,44.0003270536,43.8565756767,43.8565756767,0.996732947536,0.986931790144,1421.63668953,430.677095382,91.2555261106,339.421569272,0,1,True,True,,
development,hourly_seed_10007,a4a813964c8acd9a63ec2055e7f5fb5b46f9657e57847a000fcf0d83f959d341,10007,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2170.13946665,657.938372557,110.227234106,547.711138451,-0.00117822513388,1,True,True,,
development,hourly_seed_10008,fe578b25e6dca85d37acd3f0a32a401e9d67cc4fc711988698c25a09669325df,10008,4,2,1,63,44.0003270536,43.7961031749,43.7961031749,0.995358582712,0.981434330847,405.263708512,123.229944943,123.229944943,0,0,1,True,True,,
development,hourly_seed_10008,fe578b25e6dca85d37acd3f0a32a401e9d67cc4fc711988698c25a09669325df,10008,4,2,2,69,44.0003270536,43.0872769603,43.0872769603,0.979249015758,0.950003566983,837.498022487,250.387960896,76.1586591466,174.22930175,0,1,True,True,,
development,hourly_seed_10008,fe578b25e6dca85d37acd3f0a32a401e9d67cc4fc711988698c25a09669325df,10008,4,2,3,75,44.0003270536,44.0003270536,44.0003270536,1,1,1415.12891399,425.99420625,85.7926247241,340.201581525,0,1,True,True,,
development,hourly_seed_10008,fe578b25e6dca85d37acd3f0a32a401e9d67cc4fc711988698c25a09669325df,10008,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2226.529139,668.486243776,116.246419374,552.239824402,0,1,True,True,,
development,hourly_seed_10009,daacee9a289fb17f2d119ed70e1e1b0867050eb3b814d7736aea85474a160eb3,10009,4,2,1,63,44.0003270536,44.0003270536,44.0003270536,1,1,674.726667556,203.813943282,203.813943282,0,0,1,True,True,,
development,hourly_seed_10009,daacee9a289fb17f2d119ed70e1e1b0867050eb3b814d7736aea85474a160eb3,10009,4,2,2,69,44.0003270536,43.5768231949,43.5768231949,0.990374983846,0.973163680194,850.804046223,253.978037904,70.0097981041,183.968239799,0,1,True,True,,
development,hourly_seed_10009,daacee9a289fb17f2d119ed70e1e1b0867050eb3b814d7736aea85474a160eb3,10009,4,2,3,75,44.0003270536,43.4277993707,43.450744535,0.986988103925,0.973914565691,1412.4533906,425.655346117,73.6170292959,352.038316821,0,0.999471927018,True,True,,
development,hourly_seed_10009,daacee9a289fb17f2d119ed70e1e1b0867050eb3b814d7736aea85474a160eb3,10009,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2190.10663561,656.159532321,107.319364449,548.840167872,0,1,True,True,,
development,hourly_seed_10010,ecd751ac8296b57909dd1e0e4a2d1e9fef6f78251185de79796d92b3d124a798,10010,4,2,1,63,44.0003270536,44.0003270536,44.0003270536,1,1,587.808479781,176.800623986,176.800623986,0,0,1,True,True,,
development,hourly_seed_10010,ecd751ac8296b57909dd1e0e4a2d1e9fef6f78251185de79796d92b3d124a798,10010,4,2,2,69,44.0003270536,43.1500447239,43.1500447239,0.980675545237,0.949999997761,779.205687583,231.992767172,52.5110297411,179.481737431,-0.145183359031,1,False,False,"delivery,interval_delivery,window_relief","delivery,interval_delivery"
development,hourly_seed_10010,ecd751ac8296b57909dd1e0e4a2d1e9fef6f78251185de79796d92b3d124a798,10010,4,2,3,75,44.0003270536,44.0003270536,44.0003270536,1,1,1360.93396403,409.900008875,65.369407604,344.530601271,-0.19518336127,1,False,True,window_relief,
development,hourly_seed_10010,ecd751ac8296b57909dd1e0e4a2d1e9fef6f78251185de79796d92b3d124a798,10010,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2102.31739363,635.601933359,89.9030015709,545.698931788,-0.19518336127,1,False,True,window_relief,
development,hourly_seed_10011,14db1d17291dd11bff5923c63a225e6aa359191a7288f5086efc6568bfbdc8fa,10011,4,2,1,63,44.0003270536,44.0003270536,44.0003270536,1,1,363.892833429,112.442991016,112.442991016,0,0,1,True,True,,
development,hourly_seed_10011,14db1d17291dd11bff5923c63a225e6aa359191a7288f5086efc6568bfbdc8fa,10011,4,2,2,69,44.0003270536,42.9642528193,42.9642528193,0.976453033336,0.950000000253,793.396049769,240.054816383,44.9707739955,195.084042387,0,1,True,True,,
development,hourly_seed_10011,14db1d17291dd11bff5923c63a225e6aa359191a7288f5086efc6568bfbdc8fa,10011,4,2,3,75,44.0003270536,43.8378502539,43.8378502539,0.996307372908,0.985229491632,1403.08826931,427.068791253,63.8239957167,363.244795536,0,1,True,True,,
development,hourly_seed_10011,14db1d17291dd11bff5923c63a225e6aa359191a7288f5086efc6568bfbdc8fa,10011,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2339.96254627,709.452368543,137.913787017,571.538581526,0,1,True,True,,
development,hourly_seed_10012,a45a4c7d5ef0ec4ba25c115ada411fea27b9d8582bbd9c63f58659e1f0b10aec,10012,4,2,1,63,44.0003270536,44.0003270536,44.0003270536,1,1,391.357744326,119.966888983,119.966888983,0,0,1,True,True,,
development,hourly_seed_10012,a45a4c7d5ef0ec4ba25c115ada411fea27b9d8582bbd9c63f58659e1f0b10aec,10012,4,2,2,69,44.0003270536,43.2083079246,43.2083079246,0.981999699047,0.949999999933,886.989069212,271.706552628,79.3875642534,192.318988375,0,1,True,True,,
development,hourly_seed_10012,a45a4c7d5ef0ec4ba25c115ada411fea27b9d8582bbd9c63f58659e1f0b10aec,10012,4,2,3,75,44.0003270536,44.0003270536,44.0003270536,1,1,1426.09466665,433.476294166,76.3111353347,357.165158831,0,1,True,True,,
development,hourly_seed_10012,a45a4c7d5ef0ec4ba25c115ada411fea27b9d8582bbd9c63f58659e1f0b10aec,10012,4,2,4,81,44.0003270536,43.9671501187,44.0003270536,0.999245984357,0.996983937427,2238.7876782,679.881625681,99.3043120237,580.577313658,-0.00301606257329,0.999245984357,True,True,,
development,hourly_seed_10013,3b120939cbf8c21420b3c6a2ee02774340a3d2dfdc0b7216810723d6e4ac075c,10013,4,2,1,63,44.0003270536,44.0003270536,44.0003270536,1,1,433.834164909,133.134672737,133.134672737,0,0,1,True,True,,
development,hourly_seed_10013,3b120939cbf8c21420b3c6a2ee02774340a3d2dfdc0b7216810723d6e4ac075c,10013,4,2,2,69,44.0003270536,43.273121253,43.273121253,0.98347271829,0.967861035125,969.761828114,294.142849171,61.9371633079,232.205685863,0,1,True,True,,
development,hourly_seed_10013,3b120939cbf8c21420b3c6a2ee02774340a3d2dfdc0b7216810723d6e4ac075c,10013,4,2,3,75,44.0003270536,44.0003270536,44.0003270536,1,1,1704.26886814,521.418908116,73.1979924086,448.220915707,0,1,True,True,,
development,hourly_seed_10013,3b120939cbf8c21420b3c6a2ee02774340a3d2dfdc0b7216810723d6e4ac075c,10013,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2715.05286044,831.06204429,144.183973698,686.878070593,0,1,True,True,,
development,hourly_seed_10014,0d367d8dcc9864dfbca4cee407733ed9346dcea6a3f07d5098e4bb4ba50ba5b3,10014,4,2,1,63,44.0003270536,43.9167294211,43.9167294211,0.99810006793,0.99240027172,467.759353628,141.515490678,141.515490678,0,0,1,True,True,,
development,hourly_seed_10014,0d367d8dcc9864dfbca4cee407733ed9346dcea6a3f07d5098e4bb4ba50ba5b3,10014,4,2,2,69,44.0003270536,43.7482597057,43.7482597057,0.99427123922,0.977084956881,1024.23270534,310.273582953,73.6691400201,236.604442933,0,1,True,True,,
development,hourly_seed_10014,0d367d8dcc9864dfbca4cee407733ed9346dcea6a3f07d5098e4bb4ba50ba5b3,10014,4,2,3,75,44.0003270536,43.9037886893,43.9037886893,0.997805962574,0.991223850294,1547.32154571,469.631070358,60.7267374973,408.904332861,0,1,True,True,,
development,hourly_seed_10014,0d367d8dcc9864dfbca4cee407733ed9346dcea6a3f07d5098e4bb4ba50ba5b3,10014,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2614.54047876,796.690178258,148.711249149,647.978929109,0,1,True,True,,
development,hourly_seed_10015,b9b7162c510cd8ca870666751ccec401c5d7f02500f3232efbb0e07e0ba28ed8,10015,4,2,1,63,44.0003270536,43.8001956457,43.8001956457,0.995451592719,0.981806370876,511.425028891,154.205566823,154.205566823,0,0,1,True,True,,
development,hourly_seed_10015,b9b7162c510cd8ca870666751ccec401c5d7f02500f3232efbb0e07e0ba28ed8,10015,4,2,2,69,44.0003270536,43.2792442424,43.2792442424,0.983611876104,0.965049945622,771.603609984,229.845255521,54.1957691282,175.649486392,0,1,True,True,,
development,hourly_seed_10015,b9b7162c510cd8ca870666751ccec401c5d7f02500f3232efbb0e07e0ba28ed8,10015,4,2,3,75,44.0003270536,44.0003270536,44.0003270536,1,1,1520.0637536,458.143542193,116.759239469,341.384302724,0,1,True,True,,
development,hourly_seed_10015,b9b7162c510cd8ca870666751ccec401c5d7f02500f3232efbb0e07e0ba28ed8,10015,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2245.98223947,677.286470572,128.141897949,549.144572623,0,1,True,True,,
development,hourly_seed_10016,0bac9f6cb03aa174ddfe941ad881bb05d3ec154483c499251632448cb51f308b,10016,4,2,1,63,44.0003270536,44.0003270536,44.0003270536,1,1,345.446948238,107.279274325,107.279274325,0,0,1,True,True,,
development,hourly_seed_10016,0bac9f6cb03aa174ddfe941ad881bb05d3ec154483c499251632448cb51f308b,10016,4,2,2,69,44.0003270536,42.8248655453,42.8248655453,0.973285164292,0.950000003475,762.269306266,232.409569464,50.5617697468,181.847799717,0,1,True,True,,
development,hourly_seed_10016,0bac9f6cb03aa174ddfe941ad881bb05d3ec154483c499251632448cb51f308b,10016,4,2,3,75,44.0003270536,44.0003270536,44.0003270536,1,1,1456.32890068,445.770518242,99.4627553409,346.307762901,0,1,True,True,,
development,hourly_seed_10016,0bac9f6cb03aa174ddfe941ad881bb05d3ec154483c499251632448cb51f308b,10016,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2335.86170887,713.13437641,155.102339115,558.032037296,0,1,True,True,,
development,hourly_seed_10017,0a7f66d871b58f2b657a5ad7ecf734816814d9b6ca867bb3f904c69383937cf3,10017,4,2,1,63,44.0003270536,43.8146196933,43.8146196933,0.995779409547,0.989337448343,302.117160247,93.8231177805,93.8231177805,0,0,1,True,True,,
development,hourly_seed_10017,0a7f66d871b58f2b657a5ad7ecf734816814d9b6ca867bb3f904c69383937cf3,10017,4,2,2,69,44.0003270536,42.7508019687,42.7508019687,0.9716019137,0.949999995687,739.881847203,223.870746465,56.0254935777,167.845252887,0,1,False,False,"delivery,interval_delivery","delivery,interval_delivery"
development,hourly_seed_10017,0a7f66d871b58f2b657a5ad7ecf734816814d9b6ca867bb3f904c69383937cf3,10017,4,2,3,75,44.0003270536,43.7779663083,43.7779663083,0.994946384262,0.979785537049,1285.15898266,390.068380581,60.6259586388,329.442421942,0,1,True,True,,
development,hourly_seed_10017,0a7f66d871b58f2b657a5ad7ecf734816814d9b6ca867bb3f904c69383937cf3,10017,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2263.79842314,688.552203343,155.305338837,533.246864506,0,1,True,True,,
development,hourly_seed_10018,1a7b8b4f656072d685363dbde45bc96419d641db1ed5b4f20eeb8592836056ea,10018,4,2,1,63,44.0003270536,44.0003270536,44.0003270536,1,1,760.639587065,229.630745206,229.630745206,0,0,1,True,True,,
development,hourly_seed_10018,1a7b8b4f656072d685363dbde45bc96419d641db1ed5b4f20eeb8592836056ea,10018,4,2,2,69,44.0003270536,43.0763294174,43.0763294174,0.979000209815,0.951369689381,808.693032391,240.610502325,51.4350054085,189.175496916,0,1,True,True,,
development,hourly_seed_10018,1a7b8b4f656072d685363dbde45bc96419d641db1ed5b4f20eeb8592836056ea,10018,4,2,3,75,44.0003270536,44.0003270536,44.0003270536,1,1,1564.47473054,474.470741912,86.8922186766,387.578523235,0,1,True,True,,
development,hourly_seed_10018,1a7b8b4f656072d685363dbde45bc96419d641db1ed5b4f20eeb8592836056ea,10018,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2532.03880259,767.492245297,140.442698658,627.049546639,0,1,True,True,,
development,hourly_seed_10019,51bc80a6ea2457aac67262ad0b1b1954ed4add4d09a4c2a2855c351b11a7006d,10019,4,2,1,63,44.0003270536,43.6567759731,43.6567759731,0.992192078934,0.968768315734,356.937853201,108.614896278,108.614896278,0,0,1,True,True,,
development,hourly_seed_10019,51bc80a6ea2457aac67262ad0b1b1954ed4add4d09a4c2a2855c351b11a7006d,10019,4,2,2,69,44.0003270536,43.5198420976,43.5198420976,0.989079968533,0.978028458525,919.183350485,277.570130042,67.0643626527,210.505767389,0,1,True,True,,
development,hourly_seed_10019,51bc80a6ea2457aac67262ad0b1b1954ed4add4d09a4c2a2855c351b11a7006d,10019,4,2,3,75,44.0003270536,43.9913961157,43.9859845867,0.999797025647,0.999188102589,1575.01822616,477.457545229,86.0166734043,391.440871825,0.000491953521439,1.00012302848,True,True,,
development,hourly_seed_10019,51bc80a6ea2457aac67262ad0b1b1954ed4add4d09a4c2a2855c351b11a7006d,10019,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2580.31716163,783.063039102,150.501884491,632.561154611,0,1,True,True,,
development,hourly_seed_10020,c1a852aa8cad71294ab735faa209fdf548a5c44705b4cab4b33a1c3178ccdd8c,10020,4,2,1,63,44.0003270536,43.7687101541,43.7687101541,0.994736018683,0.978944074732,319.859563499,98.2160782595,98.2160782595,0,0,1,True,True,,
development,hourly_seed_10020,c1a852aa8cad71294ab735faa209fdf548a5c44705b4cab4b33a1c3178ccdd8c,10020,4,2,2,69,44.0003270536,41.9187152794,41.9187152794,0.952690993145,0.922175596178,809.640750743,246.633460548,63.1839731755,183.449487372,-0.269574775934,1,False,False,"delivery,interval_delivery,window_relief","delivery,interval_delivery"
development,hourly_seed_10020,c1a852aa8cad71294ab735faa209fdf548a5c44705b4cab4b33a1c3178ccdd8c,10020,4,2,3,75,44.0003270536,43.9612429277,43.8980916497,0.999111731013,0.996446924054,1371.26682293,419.275132472,78.5768086691,340.698323803,0.00574098259849,1.00143858823,True,True,,
development,hourly_seed_10020,c1a852aa8cad71294ab735faa209fdf548a5c44705b4cab4b33a1c3178ccdd8c,10020,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2264.50063195,689.216897795,138.882507287,550.334390507,0,1,True,True,,
development,hourly_seed_10021,32ec839fed42da235f92efb70530484c1fb56cbb3bd62d9f89fadd639f776812,10021,4,2,1,63,44.0003270536,44.0003270536,44.0003270536,1,1,538.087403379,161.834030736,161.834030736,0,0,1,True,True,,
development,hourly_seed_10021,32ec839fed42da235f92efb70530484c1fb56cbb3bd62d9f89fadd639f776812,10021,4,2,2,69,44.0003270536,43.0040183258,43.0040183258,0.97735678813,0.9500000022,956.552720149,289.69683334,43.8094061349,245.887427206,0,1,True,True,,
development,hourly_seed_10021,32ec839fed42da235f92efb70530484c1fb56cbb3bd62d9f89fadd639f776812,10021,4,2,3,75,44.0003270536,44.0003270536,44.0003270536,1,1,1663.08834377,504.620255578,94.7037660031,409.916489575,0,1,True,True,,
development,hourly_seed_10021,32ec839fed42da235f92efb70530484c1fb56cbb3bd62d9f89fadd639f776812,10021,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2533.00763311,767.105432612,118.271309648,648.834122965,0,1,True,True,,
development,hourly_seed_10022,0829874f1ac2765e070d6285adf2749ee24c017142e4e22376f9a2961c5e7144,10022,4,2,1,63,44.0003270536,44.0003270536,44.0003270536,1,1,425.668552334,129.736541645,129.736541645,0,0,1,True,True,,
development,hourly_seed_10022,0829874f1ac2765e070d6285adf2749ee24c017142e4e22376f9a2961c5e7144,10022,4,2,2,69,44.0003270536,43.4548287807,43.4548287807,0.98760240413,0.963126730657,830.412306342,248.368725462,76.3642479966,172.004477465,0,1,True,True,,
development,hourly_seed_10022,0829874f1ac2765e070d6285adf2749ee24c017142e4e22376f9a2961c5e7144,10022,4,2,3,75,44.0003270536,44.0003270536,44.0003270536,1,1,1406.05420047,422.036274387,81.8795460436,340.156728344,0,1,True,True,,
development,hourly_seed_10022,0829874f1ac2765e070d6285adf2749ee24c017142e4e22376f9a2961c5e7144,10022,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2167.00269026,654.658953224,106.570231287,548.088721937,0,1,True,True,,
development,hourly_seed_10023,10d1156925969f78923c3ba86da98efa099e06045b717fc279270d38f36466d9,10023,4,2,1,63,44.0003270536,44.0003270536,44.0003270536,1,1,684.337776702,205.15017461,205.15017461,0,0,1,True,True,,
development,hourly_seed_10023,10d1156925969f78923c3ba86da98efa099e06045b717fc279270d38f36466d9,10023,4,2,2,69,44.0003270536,43.1628322493,43.1628322493,0.980966168654,0.96673308176,933.704361075,278.085543989,54.6922652787,223.393278711,0,1,True,True,,
development,hourly_seed_10023,10d1156925969f78923c3ba86da98efa099e06045b717fc279270d38f36466d9,10023,4,2,3,75,44.0003270536,44.0003270536,44.0003270536,1,1,1921.66979137,584.162522294,131.161099385,453.001422909,0,1,True,True,,
development,hourly_seed_10023,10d1156925969f78923c3ba86da98efa099e06045b717fc279270d38f36466d9,10023,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2688.58763548,818.526152812,136.990296719,681.535856093,0,1,True,True,,
development,hourly_seed_10024,d640f1aacfbe917f882d5e08a57527065fb493ff4eee3a1bffb8763ac130008d,10024,4,2,1,63,44.0003270536,44.0003270536,44.0003270536,1,1,243.638878322,75.5540132987,75.5540132987,0,0,1,True,True,,
development,hourly_seed_10024,d640f1aacfbe917f882d5e08a57527065fb493ff4eee3a1bffb8763ac130008d,10024,4,2,2,69,44.0003270536,43.5347056368,43.5347056368,0.989417773731,0.957671094926,813.69123358,248.345540645,50.2658529981,198.079687647,0,1,True,True,,
development,hourly_seed_10024,d640f1aacfbe917f882d5e08a57527065fb493ff4eee3a1bffb8763ac130008d,10024,4,2,3,75,44.0003270536,43.8484398412,43.8484398412,0.996548043559,0.986192174236,1431.3298271,431.872398761,64.8152407307,367.05715803,0,1,True,True,,
development,hourly_seed_10024,d640f1aacfbe917f882d5e08a57527065fb493ff4eee3a1bffb8763ac130008d,10024,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2530.04488678,768.225794244,160.282336029,607.943458215,0,1,True,True,,
development,hourly_seed_10025,5a0da5a4f76fa67907a664754cc8cb0f162bc364f6b6f7117349989f57d1b6ff,10025,4,2,1,63,44.0003270536,44.0003270536,44.0003270536,1,1,395.756112026,122.902890659,122.902890659,0,0,1,True,True,,
development,hourly_seed_10025,5a0da5a4f76fa67907a664754cc8cb0f162bc364f6b6f7117349989f57d1b6ff,10025,4,2,2,69,44.0003270536,43.6837024416,43.6837024416,0.992804039579,0.983569048665,756.597960955,226.481630066,59.1817917356,167.299838331,0,1,True,True,,
