evaluation_split,duration_h,recovery_gap_h,event_ordinal,scenario_count,fixed_capacity_kw,local_event_success_fraction,fresh_local_event_success_fraction,p05_delivered_reduction_kw,p05_fresh_delivered_reduction_kw,fixed_commitment_residual_flexibility_ratio,mean_event_start_compute_debt_kwh,compute_debt_growth_vs_first_kwh,mean_paired_compute_debt_increment_kwh,mean_event_start_backlog_gpu_h,p05_minimum_local_service_margin,p05_paired_local_service_margin_delta,p95_rebound_ratio,failure_counts
development,4,12,4,100,44.0003270536,0.98,0.99,43.628390095,43.6248583657,0.999439432592,974.255757193,843.306224149,845.096674555,3248.65060056,0.0151196120828,-0.00502523478403,0.166313539731,"{""delivery"": 1, ""interval_delivery"": 1, ""window_relief"": 1}"
development,4,24,1,100,44.0003270536,0.99,0.99,43.7317376113,43.7317376113,1,130.949533044,0,0,428.98849921,0.0255829594643,0,0.169189217134,"{""delivery"": 1, ""interval_delivery"": 1}"
development,4,24,2,100,44.0003270536,0.87,0.87,42.0511680408,42.0511680408,1,356.668933822,225.719400778,283.50866275,1199.6960032,-0.0374424027957,0,0.179620272688,"{""delivery"": 13, ""interval_delivery"": 13}"
development,4,24,3,100,44.0003270536,0.88,0.88,42.6905903534,42.6905903534,1,651.006297069,520.056764025,589.928993867,2193.39810499,-0.002629052138,0,0.178169662909,"{""delivery"": 12, ""interval_delivery"": 12}"
development,4,24,4,100,44.0003270536,1,1,43.4592495682,43.5584535892,0.995874149902,1116.58496611,985.635433062,1034.71878369,3712.76171182,0.00567728783634,-0.0360058560341,0.240613083876,{}
development,8,2,1,100,41.1908168229,0.98,0.98,40.6419275291,40.6419275291,1,130.949533044,0,0,428.98849921,1.30477614824e-09,0,0.156371124261,"{""delivery"": 2, ""interval_delivery"": 2}"
development,8,2,2,100,41.1908168229,0.98,0.99,40.9597982339,40.9560759349,0.999346401152,404.83956545,273.890032407,331.388629077,1332.85055012,0.00621059880002,-0.00524730846413,0.141397808998,"{""delivery"": 1, ""interval_delivery"": 1, ""window_relief"": 1}"
development,8,2,3,100,41.1908168229,0.98,0.99,41.0276330347,41.0406959462,0.998915663636,849.218268169,718.268735125,711.195073962,2794.78098012,0.0206896627286,-0.0112601687997,0.142847122803,"{""delivery"": 1, ""interval_delivery"": 1, ""window_relief"": 1}"
development,8,2,4,100,41.1908168229,0.77,0.89,40.2503174944,40.4475600362,0.99109722794,1122.49915422,991.549621173,1057.8806309,3707.90110097,-0.125512834009,-0.134785742866,0.168731979545,"{""delivery"": 17, ""interval_delivery"": 17, ""window_relief"": 6}"
development,8,4,1,100,41.1908168229,0.98,0.98,40.6419275291,40.6419275291,1,130.949533044,0,0,428.98849921,1.30477614824e-09,0,0.163040624628,"{""delivery"": 2, ""interval_delivery"": 2}"
development,8,4,2,100,41.1908168229,0.99,1,41.0493531004,41.0493531004,1,406.766665527,275.817132484,325.554803263,1352.3157582,0.020945665095,0,0.153660194702,"{""window_relief"": 1}"
development,8,4,3,100,41.1908168229,0.9,0.9,40.5114765793,40.5114765793,0.998358417366,857.487584617,726.538051573,739.05860726,2847.75536372,-0.00120379393107,-0.00330417221238,0.158823104151,"{""delivery"": 10, ""interval_delivery"": 10}"
development,8,4,4,100,41.1908168229,0.97,1,41.0623521144,41.0779081659,0.998376205503,1142.97261881,1012.02308576,1064.10530748,3794.42803526,0.0192966936829,-0.0246019795383,0.156539996262,"{""window_relief"": 3}"
development,8,8,1,100,41.1908168229,0.98,0.98,40.6419275291,40.6419275291,1,130.949533044,0,0,428.98849921,1.30477614824e-09,0,0.166300907961,"{""delivery"": 2, ""interval_delivery"": 2}"
development,8,8,2,100,41.1908168229,0.92,1,41.1908168229,41.1908168229,1,449.395497253,318.445964209,336.311760415,1505.08054506,-0.238037742677,-0.288037742677,0.15755965976,"{""window_relief"": 8}"
development,8,8,3,100,41.1908168229,0.81,0.95,40.6092801824,40.6092801824,0.999997846686,784.491531699,653.541998656,721.012817782,2632.27300414,-0.444480026785,-0.479100367438,0.159137891664,"{""delivery"": 5, ""interval_delivery"": 5, ""window_relief"": 14}"
development,8,8,4,100,41.1908168229,0.88,0.91,40.4578164715,40.5565902124,0.993949629718,1304.04551827,1173.09598522,1174.88643563,4318.92843028,-0.000926236704306,-0.023528532457,0.166418658993,"{""delivery"": 12, ""interval_delivery"": 12}"
development,8,12,1,100,41.1908168229,0.98,0.98,40.6419275291,40.6419275291,1,130.949533044,0,0,428.98849921,1.30477614824e-09,0,0.170190469472,"{""delivery"": 2, ""interval_delivery"": 2}"
development,8,12,2,100,41.1908168229,0.98,0.99,41.0406959462,41.0406959462,1,504.184586587,373.235053543,366.16139238,1692.01453605,0.0206896627286,0,0.162446926889,"{""delivery"": 1, ""interval_delivery"": 1, ""window_relief"": 1}"
development,8,12,3,100,41.1908168229,0.91,1,41.1908168229,41.1748742034,1,824.442889358,693.493356314,707.777196515,2758.48463733,-0.246090361868,-0.296090361868,0.15261158224,"{""window_relief"": 9}"
development,8,12,4,100,41.1908168229,0.86,1,41.0583945313,41.0585843674,0.998569493334,1169.42264869,1038.47311564,1085.84366067,3885.52396852,-0.261951274131,-0.308132126123,0.151807914282,"{""window_relief"": 14}"
development,8,24,1,100,41.1908168229,0.98,0.98,40.6419275291,40.6419275291,1,130.949533044,0,0,428.98849921,1.30477614824e-09,0,0.163040624628,"{""delivery"": 2, ""interval_delivery"": 2}"
development,8,24,2,100,41.1908168229,0.95,0.95,40.6092801824,40.6092801824,1,481.376449276,350.426916232,417.897735358,1624.54499799,-3.28452376408e-10,0,0.167368708731,"{""delivery"": 5, ""interval_delivery"": 5}"
development,8,24,3,100,41.1908168229,1,1,41.1908168229,41.1818764915,1,1062.83837227,931.88883923,951.304730408,3537.66474988,0.05,0,0.160229205628,{}
development,8,24,4,100,41.1908168229,0.66,0.8,40.4403932915,40.5872060562,0.989689786469,1506.1554258,1375.20589275,1372.82978805,4974.12206813,-0.5,-0.0224051736211,0.234358767148,"{""delivery"": 16, ""interval_delivery"": 16, ""window_relief"": 20}"
validation,4,2,1,100,44.0003270536,0.99,0.99,43.5606702258,43.5606702258,1,134.705012673,0,0,440.977818809,0.0143150513449,0,0.171615169323,"{""delivery"": 1, ""interval_delivery"": 1}"
validation,4,2,2,100,44.0003270536,0.8,0.9,42.6599133652,42.6599133652,1,240.953432897,106.248420224,175.081125255,802.680354455,-0.362215879152,-0.368808876343,0.171973890693,"{""delivery"": 10, ""interval_delivery"": 10, ""window_relief"": 12}"
validation,4,2,3,100,44.0003270536,0.87,0.99,43.596283522,43.5823530177,1,422.648197607,287.943184934,340.857448619,1401.14216663,-0.362215879152,-0.411739363791,0.162227432026,"{""delivery"": 1, ""interval_delivery"": 1, ""window_relief"": 12}"
validation,4,2,4,100,44.0003270536,0.88,1,44.0003270536,44.0003270536,1,688.332660496,553.627647822,554.533824139,2275.09817731,-0.362215879152,-0.412215879152,0.15682062498,"{""window_relief"": 12}"
validation,4,4,1,100,44.0003270536,0.99,0.99,43.5606702258,43.5606702258,1,134.705012673,0,0,440.977818809,0.0143150513449,0,0.172417305616,"{""delivery"": 1, ""interval_delivery"": 1}"
validation,4,4,2,100,44.0003270536,0.89,0.95,42.6783110827,42.6783110827,1,231.257322379,96.5523097057,166.598627746,774.094107214,-0.0883680828365,-0.0161892517043,0.174163394369,"{""delivery"": 5, ""interval_delivery"": 5, ""window_relief"": 6}"
validation,4,4,3,100,44.0003270536,0.94,1,44.0003270536,43.9999979335,1,486.156332783,351.45132011,377.963518486,1621.05366362,-0.0151942937757,-0.0651942937757,0.158572184224,"{""window_relief"": 6}"
validation,4,4,4,100,44.0003270536,0.99,0.99,43.6469333084,43.6469333084,1,785.848720651,651.143707978,656.753631985,2620.51303863,0.0184081877723,0,0.160626239594,"{""delivery"": 1, ""interval_delivery"": 1}"
validation,4,8,1,100,44.0003270536,0.99,0.99,43.5606702258,43.5606702258,1,134.705012673,0,0,440.977818809,0.0143150513449,0,0.171939615568,"{""delivery"": 1, ""interval_delivery"": 1}"
validation,4,8,2,100,44.0003270536,0.99,0.99,43.5823530177,43.5823530177,1,235.589498168,100.884485495,153.798749179,786.279848861,0.0165719555042,0,0.164071181149,"{""delivery"": 1, ""interval_delivery"": 1}"
validation,4,8,3,100,44.0003270536,0.99,0.99,43.652814536,43.6469333084,1,670.213096498,535.508083824,541.118007832,2240.64118924,0.0184081877723,0,0.160841433296,"{""delivery"": 1, ""interval_delivery"": 1}"
validation,4,8,4,100,44.0003270536,1,1,43.6918136542,43.6918136542,1,774.297688846,639.592676173,693.209371474,2598.60957923,0.0246440408292,0,0.162228175551,{}
validation,4,12,1,100,44.0003270536,0.99,0.99,43.5606702258,43.5606702258,1,134.705012673,0,0,440.977818809,0.0143150513449,0,0.171939615568,"{""delivery"": 1, ""interval_delivery"": 1}"
validation,4,12,2,100,44.0003270536,0.95,1,43.9999979335,43.9999979335,1,255.738225462,121.033212789,147.545411165,851.231897396,0.00636390275417,-0.0436360972458,0.145110370318,"{""window_relief"": 5}"
validation,4,12,3,100,44.0003270536,0.94,0.94,42.7757739328,42.7757739328,1,530.094718396,395.389705723,466.061480089,1790.41584573,-1.20604378151e-09,0,0.162322898906,"{""delivery"": 6, ""interval_delivery"": 6}"
validation,4,12,4,100,44.0003270536,1,1,43.5970012729,43.5970012729,0.999991266612,976.903240023,842.19822735,852.047919474,3257.43514997,0.0191100692424,0,0.152161247953,{}
validation,4,24,1,100,44.0003270536,0.99,0.99,43.5606702258,43.5606702258,1,134.705012673,0,0,440.977818809,0.0143150513449,0,0.171939615568,"{""delivery"": 1, ""interval_delivery"": 1}"
validation,4,24,2,100,44.0003270536,0.92,0.92,42.6949978667,42.6949978667,1,287.918539431,153.213526758,212.904692568,966.075952083,-0.00341855390994,0,0.182314793844,"{""delivery"": 8, ""interval_delivery"": 8}"
validation,4,24,3,100,44.0003270536,0.96,0.96,43.0222355297,43.0222355297,1,577.252245914,442.54723324,511.107943702,1947.94573975,-2.54829846114e-10,0,0.172793105461,"{""delivery"": 4, ""interval_delivery"": 4}"
validation,4,24,4,100,44.0003270536,1,1,43.6653933882,43.6922434563,0.998732429947,1074.77980334,940.074790665,992.046686355,3577.87544145,0.0101598153722,-0.0330245492118,0.23852698663,{}
validation,8,2,1,100,41.1908168229,0.95,0.95,40.5136346945,40.5136346945,1,134.705012673,0,0,440.977818809,-1.09166814477e-10,0,0.161838219801,"{""delivery"": 5, ""interval_delivery"": 5}"
validation,8,2,2,100,41.1908168229,0.97,0.97,40.900455376,40.9093199869,0.999241931396,401.898495264,267.19348259,331.275574296,1326.05627072,0.00911334636478,-0.00227018867412,0.15353188275,"{""delivery"": 3, ""interval_delivery"": 3}"
validation,8,2,3,100,41.1908168229,0.99,0.99,41.0785321539,41.0785321539,0.99964412804,860.849908523,726.144895849,715.889285757,2832.82318603,0.0281922908754,-0.00284546532034,0.155090381631,"{""delivery"": 1, ""interval_delivery"": 1}"
validation,8,2,4,100,41.1908168229,0.87,0.89,40.3579245392,40.4828858597,0.990983285504,1122.28909752,987.584084849,1058.36361439,3710.91925579,-1.09329515441e-08,-0.0285639955856,0.165709059101,"{""delivery"": 13, ""interval_delivery"": 13}"
validation,8,4,1,100,41.1908168229,0.95,0.95,40.5136346945,40.5136346945,1,134.705012673,0,0,440.977818809,-1.09166814477e-10,0,0.160586572838,"{""delivery"": 5, ""interval_delivery"": 5}"
validation,8,4,2,100,41.1908168229,0.96,1,41.0546383293,41.0550274887,1,404.414098142,269.709085469,322.623349153,1346.88053546,0.0121176198616,-0.0021854843404,0.145726920499,"{""window_relief"": 4}"
validation,8,4,3,100,41.1908168229,0.92,0.92,40.7012402131,40.7014933819,0.998995600983,893.490422757,758.785410084,764.395334091,2962.07438623,-2.59230791277e-09,-0.00205785276681,0.157293080248,"{""delivery"": 8, ""interval_delivery"": 8}"
validation,8,4,4,100,41.1908168229,0.99,1,41.0526478414,41.0895242495,0.997515119595,1169.2103532,1034.50534053,1088.12203583,3881.11606703,0.0265905922378,-0.0187462115888,0.15345012605,"{""window_relief"": 1}"
validation,8,8,1,100,41.1908168229,0.95,0.95,40.5136346945,40.5136346945,1,134.705012673,0,0,440.977818809,-1.09166814477e-10,0,0.160872905622,"{""delivery"": 5, ""interval_delivery"": 5}"
validation,8,8,2,100,41.1908168229,0.81,1,41.1908168229,41.1908168229,1,423.055176527,288.350163853,314.86236223,1419.38803305,-0.501823155908,-0.551823155908,0.141190681296,"{""window_relief"": 19}"
validation,8,8,3,100,41.1908168229,0.79,0.96,40.718352358,40.718352358,1,765.542685934,630.83767326,701.509447626,2572.21158621,-0.296082491557,-0.329717660136,0.14696558753,"{""delivery"": 4, ""interval_delivery"": 4, ""window_relief"": 17}"
validation,8,8,4,100,41.1908168229,0.93,0.95,40.5210715168,40.5616584336,0.996338265326,1290.93031002,1156.22529734,1166.07498947,4275.54884719,-1.33777108835e-09,-0.0213777608349,0.151593129286,"{""delivery"": 7, ""interval_delivery"": 7}"
validation,8,12,1,100,41.1908168229,0.95,0.95,40.5136346945,40.5136346945,1,134.705012673,0,0,440.977818809,-1.09166814477e-10,0,0.166772072079,"{""delivery"": 5, ""interval_delivery"": 5}"
validation,8,12,2,100,41.1908168229,0.99,0.99,41.0785321539,41.0785321539,1,460.768843656,326.063830982,315.80822089,1546.36802677,0.0281922908754,0,0.16395417657,"{""delivery"": 1, ""interval_delivery"": 1}"
validation,8,12,3,100,41.1908168229,0.79,1,41.1908168229,41.1908168229,1,745.347863028,610.642850354,635.695989231,2501.96633442,-0.463450295888,-0.513450295888,0.149556463489,"{""window_relief"": 21}"
validation,8,12,4,100,41.1908168229,0.91,1,41.0429328655,41.0429328655,0.999542975715,1101.09999392,966.394981249,1019.63872768,3661.39700476,-0.209560880228,-0.243102187154,0.155566200115,"{""window_relief"": 9}"
validation,8,24,1,100,41.1908168229,0.95,0.95,40.5136346945,40.5136346945,1,134.705012673,0,0,440.977818809,-1.09166814477e-10,0,0.160586572838,"{""delivery"": 5, ""interval_delivery"": 5}"
validation,8,24,2,100,41.1908168229,0.96,0.96,40.718352358,40.718352358,1,433.221732611,298.516719937,369.188494303,1461.18257935,1.07552483586e-10,0,0.151661889456,"{""delivery"": 4, ""interval_delivery"": 4}"
validation,8,24,3,100,41.1908168229,1,1,41.1908168229,41.1908168229,1,1062.86791857,928.1629059,952.045589712,3535.88299019,0.05,0,0.155053359026,{}
validation,8,24,4,100,41.1908168229,0.75,0.83,40.3755273926,40.5350355556,0.993264028435,1510.37673987,1375.67172719,1381.83507384,4988.72607405,-0.0589798808197,-0.0222050027486,0.236383647818,"{""delivery"": 21, ""interval_delivery"": 21, ""window_relief"": 4}"
