evaluation_split,scenario_id,scenario_hash,episode_seed,dc_operation,pv_enabled,bess_enabled,pcc_capacity_kw,reference_mix_operating_peak_kw,hosting_dc_peak_kw,hosting_scale_of_reference_mix,minimum_background_gross_headroom_kw,maximum_pcc_power_kw,total_pv_available_kwh,total_pv_used_kwh,total_pv_curtailed_kwh,total_bess_charge_kwh,total_bess_discharge_kwh,terminal_soc_deviation_kwh,hosting_status
development,hourly_seed_10005,539c6c400a4278e5f8ecefe595ed403ac5b861aa9b11c6fcb2a2bbb3780dd3c3,10005,rigid,True,False,1000,201.000783984,481.70728155,2.39654429203,351.608988325,1000,33023.1297973,14838.4776617,18184.6521356,0,0,0,optimal
development,hourly_seed_10005,539c6c400a4278e5f8ecefe595ed403ac5b861aa9b11c6fcb2a2bbb3780dd3c3,10005,flexible,True,True,1000,201.000783984,864.74760044,4.30221008744,351.608988325,1000,33023.1297973,29013.0104387,4010.11935863,852.390510534,769.282435757,0,optimal
development,hourly_seed_10005,539c6c400a4278e5f8ecefe595ed403ac5b861aa9b11c6fcb2a2bbb3780dd3c3,10005,rigid,True,True,1000,201.000783984,585.150060034,2.9111829737,351.608988325,1000,33023.1297973,17343.4676273,15679.66217,915.022287645,825.8076146,0,optimal
development,hourly_seed_10006,a4463c463611fe9960882bf8bcb5797408ef7f2860ef21a16167a64e9cd5b99f,10006,flexible,False,False,1000,201.000783984,870.336812652,4.33001700492,605.730889682,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10006,a4463c463611fe9960882bf8bcb5797408ef7f2860ef21a16167a64e9cd5b99f,10006,rigid,False,False,1000,201.000783984,602.416601158,2.99708582831,605.730889682,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10006,a4463c463611fe9960882bf8bcb5797408ef7f2860ef21a16167a64e9cd5b99f,10006,flexible,False,True,1000,201.000783984,871.997576713,4.33827948046,605.730889682,1000,0,0,0,210.526315789,190,0,optimal
development,hourly_seed_10006,a4463c463611fe9960882bf8bcb5797408ef7f2860ef21a16167a64e9cd5b99f,10006,rigid,False,True,1000,201.000783984,660.358506456,3.28535288951,605.730889682,1000,0,0,0,468.11999731,422.478297573,0,optimal
development,hourly_seed_10006,a4463c463611fe9960882bf8bcb5797408ef7f2860ef21a16167a64e9cd5b99f,10006,flexible,True,False,1000,201.000783984,957.197632636,4.76215870239,605.730889682,1000,19894.6683151,13349.7016296,6544.9666855,0,0,0,optimal
development,hourly_seed_10006,a4463c463611fe9960882bf8bcb5797408ef7f2860ef21a16167a64e9cd5b99f,10006,rigid,True,False,1000,201.000783984,636.907272801,3.16868054033,605.730889682,1000,19894.6683151,1051.91685181,18842.7514633,0,0,0,optimal
development,hourly_seed_10006,a4463c463611fe9960882bf8bcb5797408ef7f2860ef21a16167a64e9cd5b99f,10006,flexible,True,True,1000,201.000783984,961.85315145,4.78532039719,605.730889682,1000,19894.6683151,13029.430629,6865.23768604,622.51177876,561.816880331,0,optimal
development,hourly_seed_10006,a4463c463611fe9960882bf8bcb5797408ef7f2860ef21a16167a64e9cd5b99f,10006,rigid,True,True,1000,201.000783984,735.520878159,3.65929357877,605.730889682,1000,19894.6683151,4250.64678223,15644.0215329,640.208221405,577.787919818,0,optimal
development,hourly_seed_10007,dc759842234b7ec650c2e056eda7b11cfe55424c936dd85e02f751e572bc94d6,10007,flexible,False,False,1000,201.000783984,689.939499418,3.43252143471,414.086182216,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10007,dc759842234b7ec650c2e056eda7b11cfe55424c936dd85e02f751e572bc94d6,10007,rigid,False,False,1000,201.000783984,431.779979588,2.14815072374,414.086182216,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10007,dc759842234b7ec650c2e056eda7b11cfe55424c936dd85e02f751e572bc94d6,10007,flexible,False,True,1000,201.000783984,704.399920366,3.50446354688,414.086182216,1000,0,0,0,1398.0963561,1261.78196138,0,optimal
development,hourly_seed_10007,dc759842234b7ec650c2e056eda7b11cfe55424c936dd85e02f751e572bc94d6,10007,rigid,False,True,1000,201.000783984,494.675815976,2.46106411214,414.086182216,1000,0,0,0,1343.02145867,1212.07686645,0,optimal
development,hourly_seed_10007,dc759842234b7ec650c2e056eda7b11cfe55424c936dd85e02f751e572bc94d6,10007,flexible,True,False,1000,201.000783984,886.832455457,4.41208455947,414.086182216,1000,33493.23299,31365.2406453,2127.99234465,0,0,0,optimal
development,hourly_seed_10007,dc759842234b7ec650c2e056eda7b11cfe55424c936dd85e02f751e572bc94d6,10007,rigid,True,False,1000,201.000783984,521.069657472,2.59237624423,414.086182216,1000,33493.23299,18605.5373406,14887.6956494,0,0,0,optimal
development,hourly_seed_10007,dc759842234b7ec650c2e056eda7b11cfe55424c936dd85e02f751e572bc94d6,10007,flexible,True,True,1000,201.000783984,890.495008111,4.43030614339,414.086182216,1000,33493.23299,29281.4162832,4211.81670679,588.1793556,530.831868429,0,optimal
development,hourly_seed_10007,dc759842234b7ec650c2e056eda7b11cfe55424c936dd85e02f751e572bc94d6,10007,rigid,True,True,1000,201.000783984,623.069543907,3.09983638649,414.086182216,1000,33493.23299,17044.9711955,16448.2617944,599.9962801,541.49664279,0,optimal
development,hourly_seed_10008,e54df16bf7e985a63f2e344010b9299a824bcd5ebb7568e6ca71890106742604,10008,flexible,False,False,1000,201.000783984,644.781176102,3.2078540358,351.608988325,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10008,e54df16bf7e985a63f2e344010b9299a824bcd5ebb7568e6ca71890106742604,10008,rigid,False,False,1000,201.000783984,361.691022214,1.79945080335,351.608988325,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10008,e54df16bf7e985a63f2e344010b9299a824bcd5ebb7568e6ca71890106742604,10008,flexible,False,True,1000,201.000783984,662.532756599,3.29617001221,351.608988325,1000,0,0,0,1578.94736842,1425,0,optimal
development,hourly_seed_10008,e54df16bf7e985a63f2e344010b9299a824bcd5ebb7568e6ca71890106742604,10008,rigid,False,True,1000,201.000783984,420.352314118,2.09129688843,351.608988325,1000,0,0,0,639.149140027,576.832098874,0,optimal
development,hourly_seed_10008,e54df16bf7e985a63f2e344010b9299a824bcd5ebb7568e6ca71890106742604,10008,flexible,True,False,1000,201.000783984,846.152703045,4.20969852094,351.608988325,1000,32820.8522888,30718.8741281,2101.97816075,0,0,0,optimal
development,hourly_seed_10008,e54df16bf7e985a63f2e344010b9299a824bcd5ebb7568e6ca71890106742604,10008,rigid,True,False,1000,201.000783984,457.189975817,2.27456812235,351.608988325,1000,32820.8522888,17715.5832724,15105.2690164,0,0,0,optimal
development,hourly_seed_10008,e54df16bf7e985a63f2e344010b9299a824bcd5ebb7568e6ca71890106742604,10008,flexible,True,True,1000,201.000783984,851.123688415,4.23442969497,351.608988325,1000,32820.8522888,28243.2793934,4577.57289541,729.130145822,658.039956604,0,optimal
development,hourly_seed_10008,e54df16bf7e985a63f2e344010b9299a824bcd5ebb7568e6ca71890106742604,10008,rigid,True,True,1000,201.000783984,543.353221031,2.70323931211,351.608988325,1000,32820.8522888,17984.9422693,14835.9100195,451.107827221,407.124814067,0,optimal
development,hourly_seed_10009,b1fee7a4fa250added538ad1f79e2220709b363589cc98b60ec3624e99e77b09,10009,flexible,False,False,1000,201.000783984,811.231474752,4.03596174439,513.995748507,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10009,b1fee7a4fa250added538ad1f79e2220709b363589cc98b60ec3624e99e77b09,10009,rigid,False,False,1000,201.000783984,522.957581436,2.60176886413,513.995748507,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10009,b1fee7a4fa250added538ad1f79e2220709b363589cc98b60ec3624e99e77b09,10009,flexible,False,True,1000,201.000783984,812.648727746,4.04301272681,513.995748507,1000,0,0,0,315.789473684,285,0,optimal
development,hourly_seed_10009,b1fee7a4fa250added538ad1f79e2220709b363589cc98b60ec3624e99e77b09,10009,rigid,False,True,1000,201.000783984,575.013640205,2.860753221,513.995748507,1000,0,0,0,931.631342517,840.797286622,0,optimal
development,hourly_seed_10009,b1fee7a4fa250added538ad1f79e2220709b363589cc98b60ec3624e99e77b09,10009,flexible,True,False,1000,201.000783984,979.69186136,4.87406985158,513.995748507,1000,29937.8772353,29838.9285018,98.9487335074,0,0,0,optimal
development,hourly_seed_10009,b1fee7a4fa250added538ad1f79e2220709b363589cc98b60ec3624e99e77b09,10009,rigid,True,False,1000,201.000783984,600.647009228,2.9882819227,513.995748507,1000,29937.8772353,10849.9433911,19087.9338442,0,0,0,optimal
development,hourly_seed_10009,b1fee7a4fa250added538ad1f79e2220709b363589cc98b60ec3624e99e77b09,10009,flexible,True,True,1000,201.000783984,981.630656393,4.88371556039,513.995748507,1000,29937.8772353,26834.6497938,3103.22744149,286.120190001,258.223471476,0,optimal
development,hourly_seed_10009,b1fee7a4fa250added538ad1f79e2220709b363589cc98b60ec3624e99e77b09,10009,rigid,True,True,1000,201.000783984,701.357506657,3.4893272193,513.995748507,1000,29937.8772353,10425.6518797,19512.2253556,628.373769515,567.107326988,0,optimal
development,hourly_seed_10010,ba5c5c81155b64740d29a137a3fac4955f3323040a92f06b3bb3d3b0bba9ca81,10010,flexible,False,False,1000,201.000783984,935.740271623,4.6554060789,677.942326391,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10010,ba5c5c81155b64740d29a137a3fac4955f3323040a92f06b3bb3d3b0bba9ca81,10010,rigid,False,False,1000,201.000783984,696.837011311,3.46683728043,677.942326391,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10010,ba5c5c81155b64740d29a137a3fac4955f3323040a92f06b3bb3d3b0bba9ca81,10010,flexible,False,True,1000,201.000783984,937.159154165,4.66246516849,677.942326391,1000,0,0,0,289.273001965,261.068884274,0,optimal
development,hourly_seed_10010,ba5c5c81155b64740d29a137a3fac4955f3323040a92f06b3bb3d3b0bba9ca81,10010,rigid,False,True,1000,201.000783984,734.688254377,3.65515118805,677.942326391,1000,0,0,0,630.957470707,569.439117313,0,optimal
development,hourly_seed_10010,ba5c5c81155b64740d29a137a3fac4955f3323040a92f06b3bb3d3b0bba9ca81,10010,flexible,True,False,1000,201.000783984,1069.79422431,5.32233856559,677.942326391,1000,24553.5910743,20852.3157279,3701.27534637,0,0,0,optimal
development,hourly_seed_10010,ba5c5c81155b64740d29a137a3fac4955f3323040a92f06b3bb3d3b0bba9ca81,10010,rigid,True,False,1000,201.000783984,763.374815905,3.79786984296,677.942326391,1000,24553.5910743,4394.51093213,20159.0801422,0,0,0,optimal
development,hourly_seed_10010,ba5c5c81155b64740d29a137a3fac4955f3323040a92f06b3bb3d3b0bba9ca81,10010,flexible,True,True,1000,201.000783984,1074.89093228,5.34769522276,677.942326391,1000,24553.5910743,21114.0483167,3439.54275761,729.900999087,658.735651676,0,optimal
development,hourly_seed_10010,ba5c5c81155b64740d29a137a3fac4955f3323040a92f06b3bb3d3b0bba9ca81,10010,rigid,True,True,1000,201.000783984,838.021987045,4.16924735533,677.942326391,1000,24553.5910743,5743.75399,18809.8370843,855.206187121,771.823583877,0,optimal
development,hourly_seed_10011,096688d5a65e9e3113beb5d244923e91f3996e27a512ebb48104567e2343599b,10011,flexible,False,False,1000,201.000783984,928.601172134,4.61988830953,662.656694983,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10011,096688d5a65e9e3113beb5d244923e91f3996e27a512ebb48104567e2343599b,10011,rigid,False,False,1000,201.000783984,677.010939772,3.36820049332,662.656694983,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10011,096688d5a65e9e3113beb5d244923e91f3996e27a512ebb48104567e2343599b,10011,flexible,False,True,1000,201.000783984,930.011354963,4.62690411713,662.656694983,1000,0,0,0,210.526315789,190,0,optimal
development,hourly_seed_10011,096688d5a65e9e3113beb5d244923e91f3996e27a512ebb48104567e2343599b,10011,rigid,False,True,1000,201.000783984,739.728513212,3.68022700484,662.656694983,1000,0,0,0,669.169617987,603.925580233,0,optimal
development,hourly_seed_10011,096688d5a65e9e3113beb5d244923e91f3996e27a512ebb48104567e2343599b,10011,flexible,True,False,1000,201.000783984,1066.60691967,5.30648139042,662.656694983,1000,28703.2079162,21544.7613289,7158.44658732,0,0,0,optimal
development,hourly_seed_10011,096688d5a65e9e3113beb5d244923e91f3996e27a512ebb48104567e2343599b,10011,rigid,True,False,1000,201.000783984,737.39044271,3.66859485866,662.656694983,1000,28703.2079162,1282.63757745,27420.5703388,0,0,0,optimal
development,hourly_seed_10011,096688d5a65e9e3113beb5d244923e91f3996e27a512ebb48104567e2343599b,10011,flexible,True,True,1000,201.000783984,1073.23218165,5.33944276424,662.656694983,1000,28703.2079162,21848.0862141,6855.12170215,903.506591982,815.414699263,0,optimal
development,hourly_seed_10011,096688d5a65e9e3113beb5d244923e91f3996e27a512ebb48104567e2343599b,10011,rigid,True,True,1000,201.000783984,818.588088237,4.07256166872,662.656694983,1000,28703.2079162,5124.88042303,23578.3274932,479.101794209,432.389369274,0,optimal
development,hourly_seed_10012,28b4e9bd21e74c4f84ea97924472991709830d75f1551cc46463aaaf3db088ce,10012,flexible,False,False,1000,201.000783984,789.570282855,3.92819504086,369.054188402,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10012,28b4e9bd21e74c4f84ea97924472991709830d75f1551cc46463aaaf3db088ce,10012,rigid,False,False,1000,201.000783984,450.994091957,2.24374294974,369.054188402,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10012,28b4e9bd21e74c4f84ea97924472991709830d75f1551cc46463aaaf3db088ce,10012,flexible,False,True,1000,201.000783984,791.321888116,3.9369094609,369.054188402,1000,0,0,0,268.371923184,242.205660674,0,optimal
development,hourly_seed_10012,28b4e9bd21e74c4f84ea97924472991709830d75f1551cc46463aaaf3db088ce,10012,rigid,False,True,1000,201.000783984,515.859560556,2.56645546515,369.054188402,1000,0,0,0,431.441119482,389.375610332,0,optimal
development,hourly_seed_10012,28b4e9bd21e74c4f84ea97924472991709830d75f1551cc46463aaaf3db088ce,10012,flexible,True,False,1000,201.000783984,812.936113451,4.04444250086,369.054188402,1000,20882.7999263,13795.096959,7087.70296738,0,0,0,optimal
development,hourly_seed_10012,28b4e9bd21e74c4f84ea97924472991709830d75f1551cc46463aaaf3db088ce,10012,rigid,True,False,1000,201.000783984,463.177971249,2.3043590282,369.054188402,1000,20882.7999263,864.831954725,20017.9679716,0,0,0,optimal
development,hourly_seed_10012,28b4e9bd21e74c4f84ea97924472991709830d75f1551cc46463aaaf3db088ce,10012,flexible,True,True,1000,201.000783984,883.982719618,4.39790682452,369.054188402,1000,20882.7999263,16048.9950463,4833.80488004,1119.77836268,1010.59997231,0,optimal
development,hourly_seed_10012,28b4e9bd21e74c4f84ea97924472991709830d75f1551cc46463aaaf3db088ce,10012,rigid,True,True,1000,201.000783984,547.377428756,2.72326016798,369.054188402,1000,20882.7999263,4704.19122921,16178.6086971,421.823366806,380.695588542,0,optimal
development,hourly_seed_10013,af9e738d724fd20277d5be9525a722cd26fc8ec1edca28ef8c1c265cb6149b9a,10013,flexible,False,False,1000,201.000783984,522.403814639,2.59901381619,243.137114256,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10013,af9e738d724fd20277d5be9525a722cd26fc8ec1edca28ef8c1c265cb6149b9a,10013,rigid,False,False,1000,201.000783984,257.634493398,1.28175864935,243.137114256,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10013,af9e738d724fd20277d5be9525a722cd26fc8ec1edca28ef8c1c265cb6149b9a,10013,flexible,False,True,1000,201.000783984,600.067652416,2.98539956175,243.137114256,1000,0,0,0,315.789473684,285,0,optimal
development,hourly_seed_10013,af9e738d724fd20277d5be9525a722cd26fc8ec1edca28ef8c1c265cb6149b9a,10013,rigid,False,True,1000,201.000783984,334.22100568,1.66278458748,243.137114256,1000,0,0,0,536.387130602,484.089385369,0,optimal
