community_profile_case,profile_id,climate_zone,generation_seed,scenario_id,scenario_hash,duration_h,perfect_information_capacity_kw,perfect_information_status,paired_capacity_delta_kw,paired_capacity_ratio
climate_3c,eulp_mixed_3c,3C,10004,hourly_seed_10004,9f839b50b84b5c78a6430aa4f011ec91b131d686e9e6e62447226367fb823f71,6,45.2208200683,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10004,hourly_seed_10004,9f839b50b84b5c78a6430aa4f011ec91b131d686e9e6e62447226367fb823f71,8,45.2208200683,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10005,hourly_seed_10005,d3f6792408881f15b9ce701d25a968fef99b34e4937f3592842410753189b840,1,72.371323131,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10005,hourly_seed_10005,d3f6792408881f15b9ce701d25a968fef99b34e4937f3592842410753189b840,2,62.4778763587,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10005,hourly_seed_10005,d3f6792408881f15b9ce701d25a968fef99b34e4937f3592842410753189b840,3,62.4778763587,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10005,hourly_seed_10005,d3f6792408881f15b9ce701d25a968fef99b34e4937f3592842410753189b840,4,62.4778763587,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10005,hourly_seed_10005,d3f6792408881f15b9ce701d25a968fef99b34e4937f3592842410753189b840,6,57.6596246812,optimal,6.39488462184e-14,1
climate_3c,eulp_mixed_3c,3C,10005,hourly_seed_10005,d3f6792408881f15b9ce701d25a968fef99b34e4937f3592842410753189b840,8,57.6596246812,optimal,6.39488462184e-14,1
climate_3c,eulp_mixed_3c,3C,10006,hourly_seed_10006,e0321782e721e72e22d7a00d72ab9a2f623ce49dd5ca7fcab6f7e534673e1a4c,1,89.9733935045,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10006,hourly_seed_10006,e0321782e721e72e22d7a00d72ab9a2f623ce49dd5ca7fcab6f7e534673e1a4c,2,63.8681265182,optimal,-5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10006,hourly_seed_10006,e0321782e721e72e22d7a00d72ab9a2f623ce49dd5ca7fcab6f7e534673e1a4c,3,57.1155823984,optimal,-6.39488462184e-14,1
climate_3c,eulp_mixed_3c,3C,10006,hourly_seed_10006,e0321782e721e72e22d7a00d72ab9a2f623ce49dd5ca7fcab6f7e534673e1a4c,4,57.1155823984,optimal,-6.39488462184e-14,1
climate_3c,eulp_mixed_3c,3C,10006,hourly_seed_10006,e0321782e721e72e22d7a00d72ab9a2f623ce49dd5ca7fcab6f7e534673e1a4c,6,43.4622952275,optimal,-5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10006,hourly_seed_10006,e0321782e721e72e22d7a00d72ab9a2f623ce49dd5ca7fcab6f7e534673e1a4c,8,43.4622952275,optimal,-5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10007,hourly_seed_10007,7234d7dc1b43118d210fdfe8cc27a406eda63436c15a965e37a3dbf17d6201c9,1,92.8441223918,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10007,hourly_seed_10007,7234d7dc1b43118d210fdfe8cc27a406eda63436c15a965e37a3dbf17d6201c9,2,88.928046187,optimal,-5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10007,hourly_seed_10007,7234d7dc1b43118d210fdfe8cc27a406eda63436c15a965e37a3dbf17d6201c9,3,79.5739676202,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10007,hourly_seed_10007,7234d7dc1b43118d210fdfe8cc27a406eda63436c15a965e37a3dbf17d6201c9,4,54.0025722817,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10007,hourly_seed_10007,7234d7dc1b43118d210fdfe8cc27a406eda63436c15a965e37a3dbf17d6201c9,6,54.0025722817,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10007,hourly_seed_10007,7234d7dc1b43118d210fdfe8cc27a406eda63436c15a965e37a3dbf17d6201c9,8,54.0025722817,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10008,hourly_seed_10008,9baf929554ad5f86abbeee1ed7ba6d3963e5646d628e0014c6c6b8a746c4e1bc,1,83.5780896515,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10008,hourly_seed_10008,9baf929554ad5f86abbeee1ed7ba6d3963e5646d628e0014c6c6b8a746c4e1bc,2,80.1669252418,optimal,-1.27897692437e-13,1
climate_3c,eulp_mixed_3c,3C,10008,hourly_seed_10008,9baf929554ad5f86abbeee1ed7ba6d3963e5646d628e0014c6c6b8a746c4e1bc,3,49.7563867487,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10008,hourly_seed_10008,9baf929554ad5f86abbeee1ed7ba6d3963e5646d628e0014c6c6b8a746c4e1bc,4,49.7563867487,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10008,hourly_seed_10008,9baf929554ad5f86abbeee1ed7ba6d3963e5646d628e0014c6c6b8a746c4e1bc,6,49.7563867487,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10008,hourly_seed_10008,9baf929554ad5f86abbeee1ed7ba6d3963e5646d628e0014c6c6b8a746c4e1bc,8,49.7563867487,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10009,hourly_seed_10009,30c65c16b38feb6ecd142d71bee362cb4127be2d545d1f47dc6a006dc29dc17b,1,40.146878193,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10009,hourly_seed_10009,30c65c16b38feb6ecd142d71bee362cb4127be2d545d1f47dc6a006dc29dc17b,2,40.146878193,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10009,hourly_seed_10009,30c65c16b38feb6ecd142d71bee362cb4127be2d545d1f47dc6a006dc29dc17b,3,40.146878193,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10009,hourly_seed_10009,30c65c16b38feb6ecd142d71bee362cb4127be2d545d1f47dc6a006dc29dc17b,4,40.146878193,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10009,hourly_seed_10009,30c65c16b38feb6ecd142d71bee362cb4127be2d545d1f47dc6a006dc29dc17b,6,40.146878193,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10009,hourly_seed_10009,30c65c16b38feb6ecd142d71bee362cb4127be2d545d1f47dc6a006dc29dc17b,8,40.146878193,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10010,hourly_seed_10010,02896fc9ada0a675cc072581340c260366e609aa4679460e9e9c951c1a6136a3,1,75.8939211633,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10010,hourly_seed_10010,02896fc9ada0a675cc072581340c260366e609aa4679460e9e9c951c1a6136a3,2,75.8939211633,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10010,hourly_seed_10010,02896fc9ada0a675cc072581340c260366e609aa4679460e9e9c951c1a6136a3,3,75.8939211633,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10010,hourly_seed_10010,02896fc9ada0a675cc072581340c260366e609aa4679460e9e9c951c1a6136a3,4,75.8939211633,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10010,hourly_seed_10010,02896fc9ada0a675cc072581340c260366e609aa4679460e9e9c951c1a6136a3,6,49.9727976899,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10010,hourly_seed_10010,02896fc9ada0a675cc072581340c260366e609aa4679460e9e9c951c1a6136a3,8,35.9320310357,optimal,-5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10011,hourly_seed_10011,b1577c8315d0be45922593574d102b985e9bee6df721affdf172206ae982e07e,1,65.815535426,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10011,hourly_seed_10011,b1577c8315d0be45922593574d102b985e9bee6df721affdf172206ae982e07e,2,65.815535426,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10011,hourly_seed_10011,b1577c8315d0be45922593574d102b985e9bee6df721affdf172206ae982e07e,3,47.3376063613,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10011,hourly_seed_10011,b1577c8315d0be45922593574d102b985e9bee6df721affdf172206ae982e07e,4,47.3376063613,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10011,hourly_seed_10011,b1577c8315d0be45922593574d102b985e9bee6df721affdf172206ae982e07e,6,47.3376063613,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10011,hourly_seed_10011,b1577c8315d0be45922593574d102b985e9bee6df721affdf172206ae982e07e,8,47.3376063613,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10012,hourly_seed_10012,759d5dfb6a7ec935a8a589527e81394353add90a8393b8ed72eb21e6111758cb,1,87.1401130021,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10012,hourly_seed_10012,759d5dfb6a7ec935a8a589527e81394353add90a8393b8ed72eb21e6111758cb,2,72.4849966927,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10012,hourly_seed_10012,759d5dfb6a7ec935a8a589527e81394353add90a8393b8ed72eb21e6111758cb,3,72.4849966927,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10012,hourly_seed_10012,759d5dfb6a7ec935a8a589527e81394353add90a8393b8ed72eb21e6111758cb,4,72.4849966927,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10012,hourly_seed_10012,759d5dfb6a7ec935a8a589527e81394353add90a8393b8ed72eb21e6111758cb,6,64.6093926692,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10012,hourly_seed_10012,759d5dfb6a7ec935a8a589527e81394353add90a8393b8ed72eb21e6111758cb,8,54.2555571707,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10013,hourly_seed_10013,f4a00ecb6f0f8db032a1200ce646f8fd4a1c0f4717a5fe49b2cce1d5987c498b,1,112.23140492,optimal,-5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10013,hourly_seed_10013,f4a00ecb6f0f8db032a1200ce646f8fd4a1c0f4717a5fe49b2cce1d5987c498b,2,103.159183042,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10013,hourly_seed_10013,f4a00ecb6f0f8db032a1200ce646f8fd4a1c0f4717a5fe49b2cce1d5987c498b,3,65.2397266965,optimal,-5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10013,hourly_seed_10013,f4a00ecb6f0f8db032a1200ce646f8fd4a1c0f4717a5fe49b2cce1d5987c498b,4,65.2397266965,optimal,-5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10013,hourly_seed_10013,f4a00ecb6f0f8db032a1200ce646f8fd4a1c0f4717a5fe49b2cce1d5987c498b,6,57.5963666956,optimal,1.20792265079e-13,1
climate_3c,eulp_mixed_3c,3C,10013,hourly_seed_10013,f4a00ecb6f0f8db032a1200ce646f8fd4a1c0f4717a5fe49b2cce1d5987c498b,8,54.8543788507,optimal,1.20792265079e-13,1
climate_3c,eulp_mixed_3c,3C,10014,hourly_seed_10014,35dea0183d0e1554fc9e54a6ded1c068f5c52ea2832d3ca99cffe7dea84f010d,1,110.823414795,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10014,hourly_seed_10014,35dea0183d0e1554fc9e54a6ded1c068f5c52ea2832d3ca99cffe7dea84f010d,2,110.823414795,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10014,hourly_seed_10014,35dea0183d0e1554fc9e54a6ded1c068f5c52ea2832d3ca99cffe7dea84f010d,3,108.940628493,optimal,-5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10014,hourly_seed_10014,35dea0183d0e1554fc9e54a6ded1c068f5c52ea2832d3ca99cffe7dea84f010d,4,72.8746721368,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10014,hourly_seed_10014,35dea0183d0e1554fc9e54a6ded1c068f5c52ea2832d3ca99cffe7dea84f010d,6,59.7547445044,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10014,hourly_seed_10014,35dea0183d0e1554fc9e54a6ded1c068f5c52ea2832d3ca99cffe7dea84f010d,8,59.7547445044,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10015,hourly_seed_10015,bc805b6c55665d286bb450d265b380902c09e57053ecfc0c41465a2555963488,1,90.2558837335,optimal,-1.27897692437e-13,1
climate_3c,eulp_mixed_3c,3C,10015,hourly_seed_10015,bc805b6c55665d286bb450d265b380902c09e57053ecfc0c41465a2555963488,2,70.3561560768,optimal,7.1054273576e-14,1
climate_3c,eulp_mixed_3c,3C,10015,hourly_seed_10015,bc805b6c55665d286bb450d265b380902c09e57053ecfc0c41465a2555963488,3,70.0037304174,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10015,hourly_seed_10015,bc805b6c55665d286bb450d265b380902c09e57053ecfc0c41465a2555963488,4,68.9636420431,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10015,hourly_seed_10015,bc805b6c55665d286bb450d265b380902c09e57053ecfc0c41465a2555963488,6,58.1490303197,optimal,6.39488462184e-14,1
climate_3c,eulp_mixed_3c,3C,10015,hourly_seed_10015,bc805b6c55665d286bb450d265b380902c09e57053ecfc0c41465a2555963488,8,58.1490303197,optimal,6.39488462184e-14,1
climate_3c,eulp_mixed_3c,3C,10016,hourly_seed_10016,4f55e7f6444e69a1dda74330e91f2c9298ab461be173197f2f91ac19711e9392,1,112.925433052,optimal,-5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10016,hourly_seed_10016,4f55e7f6444e69a1dda74330e91f2c9298ab461be173197f2f91ac19711e9392,2,87.4480873436,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10016,hourly_seed_10016,4f55e7f6444e69a1dda74330e91f2c9298ab461be173197f2f91ac19711e9392,3,84.3010304395,optimal,-5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10016,hourly_seed_10016,4f55e7f6444e69a1dda74330e91f2c9298ab461be173197f2f91ac19711e9392,4,78.1741428548,optimal,-1.13686837722e-13,1
climate_3c,eulp_mixed_3c,3C,10016,hourly_seed_10016,4f55e7f6444e69a1dda74330e91f2c9298ab461be173197f2f91ac19711e9392,6,72.8538526461,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10016,hourly_seed_10016,4f55e7f6444e69a1dda74330e91f2c9298ab461be173197f2f91ac19711e9392,8,50.338979626,optimal,6.39488462184e-14,1
climate_3c,eulp_mixed_3c,3C,10017,hourly_seed_10017,43ddf8f7117dd1b015cb2aae8e3368f6b03e29dd38b515715ff31cb9baf29ec8,1,95.8703990173,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10017,hourly_seed_10017,43ddf8f7117dd1b015cb2aae8e3368f6b03e29dd38b515715ff31cb9baf29ec8,2,78.9014357589,optimal,-1.13686837722e-13,1
climate_3c,eulp_mixed_3c,3C,10017,hourly_seed_10017,43ddf8f7117dd1b015cb2aae8e3368f6b03e29dd38b515715ff31cb9baf29ec8,3,60.1010262645,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10017,hourly_seed_10017,43ddf8f7117dd1b015cb2aae8e3368f6b03e29dd38b515715ff31cb9baf29ec8,4,58.9741387167,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10017,hourly_seed_10017,43ddf8f7117dd1b015cb2aae8e3368f6b03e29dd38b515715ff31cb9baf29ec8,6,50.3821496818,optimal,-6.39488462184e-14,1
climate_3c,eulp_mixed_3c,3C,10017,hourly_seed_10017,43ddf8f7117dd1b015cb2aae8e3368f6b03e29dd38b515715ff31cb9baf29ec8,8,50.3821496818,optimal,-6.39488462184e-14,1
climate_3c,eulp_mixed_3c,3C,10018,hourly_seed_10018,faaddd516ebb9ca57c28098d5f37d6cdbba8c981392d58e1bc72da6ba235730a,1,68.0054702474,optimal,-7.1054273576e-14,1
climate_3c,eulp_mixed_3c,3C,10018,hourly_seed_10018,faaddd516ebb9ca57c28098d5f37d6cdbba8c981392d58e1bc72da6ba235730a,2,68.0054702474,optimal,-7.1054273576e-14,1
climate_3c,eulp_mixed_3c,3C,10018,hourly_seed_10018,faaddd516ebb9ca57c28098d5f37d6cdbba8c981392d58e1bc72da6ba235730a,3,68.0054702474,optimal,-7.1054273576e-14,1
climate_3c,eulp_mixed_3c,3C,10018,hourly_seed_10018,faaddd516ebb9ca57c28098d5f37d6cdbba8c981392d58e1bc72da6ba235730a,4,68.0054702474,optimal,-7.1054273576e-14,1
climate_3c,eulp_mixed_3c,3C,10018,hourly_seed_10018,faaddd516ebb9ca57c28098d5f37d6cdbba8c981392d58e1bc72da6ba235730a,6,52.9791956268,optimal,-5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10018,hourly_seed_10018,faaddd516ebb9ca57c28098d5f37d6cdbba8c981392d58e1bc72da6ba235730a,8,52.9791956268,optimal,-5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10019,hourly_seed_10019,1b9fe1f49b7e5ed8bd3de7ed52cd46a9c1db1d5620d1b834dead2cd3f99e8fb0,1,88.2787643575,optimal,1.13686837722e-13,1
climate_3c,eulp_mixed_3c,3C,10019,hourly_seed_10019,1b9fe1f49b7e5ed8bd3de7ed52cd46a9c1db1d5620d1b834dead2cd3f99e8fb0,2,64.3510539961,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10019,hourly_seed_10019,1b9fe1f49b7e5ed8bd3de7ed52cd46a9c1db1d5620d1b834dead2cd3f99e8fb0,3,51.3839822063,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10019,hourly_seed_10019,1b9fe1f49b7e5ed8bd3de7ed52cd46a9c1db1d5620d1b834dead2cd3f99e8fb0,4,51.3839822063,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10019,hourly_seed_10019,1b9fe1f49b7e5ed8bd3de7ed52cd46a9c1db1d5620d1b834dead2cd3f99e8fb0,6,51.3839822063,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10019,hourly_seed_10019,1b9fe1f49b7e5ed8bd3de7ed52cd46a9c1db1d5620d1b834dead2cd3f99e8fb0,8,51.3839822063,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10020,hourly_seed_10020,5db1cdf83718b786cf6e8d4f7de669420c3095320ff2319d3de0f677e0543883,1,97.9759934945,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10020,hourly_seed_10020,5db1cdf83718b786cf6e8d4f7de669420c3095320ff2319d3de0f677e0543883,2,97.9759934945,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10020,hourly_seed_10020,5db1cdf83718b786cf6e8d4f7de669420c3095320ff2319d3de0f677e0543883,3,97.9759934945,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10020,hourly_seed_10020,5db1cdf83718b786cf6e8d4f7de669420c3095320ff2319d3de0f677e0543883,4,73.1748459381,optimal,-7.1054273576e-14,1
climate_3c,eulp_mixed_3c,3C,10020,hourly_seed_10020,5db1cdf83718b786cf6e8d4f7de669420c3095320ff2319d3de0f677e0543883,6,63.0725309822,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10020,hourly_seed_10020,5db1cdf83718b786cf6e8d4f7de669420c3095320ff2319d3de0f677e0543883,8,47.7369739929,optimal,-6.39488462184e-14,1
climate_3c,eulp_mixed_3c,3C,10021,hourly_seed_10021,0d8c93e3c41fabdb55fabf341625aab4696a7883f4c43c5184f8a75326e15e40,1,80.667546345,optimal,1.13686837722e-13,1
climate_3c,eulp_mixed_3c,3C,10021,hourly_seed_10021,0d8c93e3c41fabdb55fabf341625aab4696a7883f4c43c5184f8a75326e15e40,2,69.8883077788,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10021,hourly_seed_10021,0d8c93e3c41fabdb55fabf341625aab4696a7883f4c43c5184f8a75326e15e40,3,69.8883077788,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10021,hourly_seed_10021,0d8c93e3c41fabdb55fabf341625aab4696a7883f4c43c5184f8a75326e15e40,4,46.1151139902,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10021,hourly_seed_10021,0d8c93e3c41fabdb55fabf341625aab4696a7883f4c43c5184f8a75326e15e40,6,46.1151139902,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10021,hourly_seed_10021,0d8c93e3c41fabdb55fabf341625aab4696a7883f4c43c5184f8a75326e15e40,8,46.1151139902,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10022,hourly_seed_10022,84757efbca7d291867b9d8d90ad4d444c00da2b027bebb354b01b586ebe4f43a,1,112.852117818,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10022,hourly_seed_10022,84757efbca7d291867b9d8d90ad4d444c00da2b027bebb354b01b586ebe4f43a,2,112.024304596,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10022,hourly_seed_10022,84757efbca7d291867b9d8d90ad4d444c00da2b027bebb354b01b586ebe4f43a,3,89.3330165951,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10022,hourly_seed_10022,84757efbca7d291867b9d8d90ad4d444c00da2b027bebb354b01b586ebe4f43a,4,63.9519631428,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10022,hourly_seed_10022,84757efbca7d291867b9d8d90ad4d444c00da2b027bebb354b01b586ebe4f43a,6,63.9519631428,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10022,hourly_seed_10022,84757efbca7d291867b9d8d90ad4d444c00da2b027bebb354b01b586ebe4f43a,8,59.2468863115,optimal,6.39488462184e-14,1
climate_3c,eulp_mixed_3c,3C,10023,hourly_seed_10023,f46925908462c13f3e73560d12325633cd3a7b08d4a445dc0cda52bcec151f24,1,112.212487183,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10023,hourly_seed_10023,f46925908462c13f3e73560d12325633cd3a7b08d4a445dc0cda52bcec151f24,2,109.751749701,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10023,hourly_seed_10023,f46925908462c13f3e73560d12325633cd3a7b08d4a445dc0cda52bcec151f24,3,59.2893436845,optimal,-1.20792265079e-13,1
climate_3c,eulp_mixed_3c,3C,10023,hourly_seed_10023,f46925908462c13f3e73560d12325633cd3a7b08d4a445dc0cda52bcec151f24,4,57.5707425963,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10023,hourly_seed_10023,f46925908462c13f3e73560d12325633cd3a7b08d4a445dc0cda52bcec151f24,6,56.5490468572,optimal,0,1
