hour,arrival_gpu_h,executed_gpu_h,action_fraction,community_power_kw,dc_power_kw,pcc_power_kw,baseline_pcc_power_kw,pcc_limit_kw,backlog_gpu_h,compute_debt_kwh,missed_gpu_h,event_active,recovery_active,is_clearance_tail
20,193.026413193,193.026412725,0.557879805565,376.21299556,153.494515613,529.707511173,529.70751131,1000,2.56289449396e-06,7.53942616637e-07,0,False,False,False
21,220.858513077,220.858515639,0.638319432735,321.703765299,162.137833499,483.841598797,483.841598043,1000,0,1.07778399073e-14,0,False,False,False
22,132.142045081,132.142044544,0.381913423538,261.890837659,134.586747375,396.477585033,396.477585191,1000,5.36723119282e-07,1.57891187276e-07,0,False,False,False
23,210.181890644,210.181889415,0.607462108135,221.695683502,158.822184893,380.517868395,380.517868756,1000,1.76582544498e-06,5.19463858928e-07,0,False,False,False
24,189.40998844,189.409988999,0.547427713871,199.463757532,152.371427623,351.835185154,351.83518499,1000,1.20671123938e-06,3.54985757364e-07,0,False,False,False
25,307.85440786,307.854408741,0.889752626419,187.618893918,189.154590597,376.773484515,376.773484256,1000,3.25588530359e-07,9.57804110797e-08,0,False,False,False
26,188.768329228,188.768329554,0.545573234558,179.308366301,152.17215894,331.480525241,331.480525145,1000,0,6.46670394439e-15,0,False,False,False
27,300.617367188,300.617367188,0.868836343288,175.611749016,186.907112177,362.518861193,362.518861193,1000,0,5.68286104204e-15,0,False,False,False
28,226.045230916,226.045230916,0.653309941292,178.910424754,163.748578849,342.659003603,342.659003603,1000,0,5.35625983273e-15,0,False,False,False
29,224.642137931,224.642137931,0.649254739285,201.248602145,163.312845379,364.561447525,364.561447525,1000,0,3.98453475361e-15,0,False,False,False
30,317.93326706,317.933258772,0.918882250786,226.955877112,192.284598763,419.240475876,419.240478314,1000,8.28795216989e-06,2.43811842482e-06,0,False,False,False
31,261.966885439,261.966886163,0.757129728794,252.585774542,174.904124217,427.489898759,427.489898546,1000,7.56433837523e-06,2.22524845738e-06,0,False,False,False
32,318.699781175,318.699782133,0.921097636223,290.61661122,192.52264405,483.13925527,483.139254988,1000,6.60601291713e-06,1.9433319019e-06,0,False,False,False
33,330.525348955,330.525355561,0.955275595188,332.570759307,196.195100588,528.765859895,528.765857952,1000,0,1.32273489772e-14,0,False,False,False
34,402.469472876,346,1,374.869437606,201.925521325,576.794958931,576.794958931,1000,56.4694728759,16.6119759016,0,False,False,False
35,360.680115823,346,1,412.478446045,201.241183807,613.719629852,613.719629852,1000,71.1495886987,20.9305168382,0,False,False,False
36,350.439328053,346,1,445.053978383,201.07348189,646.127460273,646.127460273,1000,75.5889167517,22.2364615705,0,False,False,False
37,302.427467748,346,1,469.928419283,200.287245402,670.215664685,670.215664685,1000,32.0163845,9.41845887141,0,False,False,False
38,271.615189344,303.631573844,0.87754791975,488.423673429,187.31888389,675.742557318,675.742557318,1000,0,9.60207555379e-15,0,False,False,False
39,266.792613983,266.792613506,0.771076917648,500.161828219,176.402763985,676.564592204,676.564592344,1000,4.76743593936e-07,1.40246636307e-07,0,False,False,False
40,289.328236425,289.328231215,0.836208760738,502.447305019,183.401247408,685.848552428,685.84855396,1000,5.68624456321e-06,1.67275792266e-06,0,False,False,False
41,331.745096601,331.745094895,0.958800852299,488.406146457,196.573893333,684.98003979,684.980040292,1000,7.39177033893e-06,2.17448304393e-06,0,False,False,False
42,289.110280565,289.110285163,0.835578858852,460.725487138,183.333563644,644.059050782,644.05904943,1000,2.79430696537e-06,8.22018660585e-07,0,False,False,False
43,192.94109656,192.941094518,0.557633221149,429.504068411,153.46801989,582.972088301,582.972088902,1000,4.83695797016e-06,1.42291800447e-06,0,False,False,False
44,143.793643619,143.793648456,0.415588587523,392.686850673,138.20517732,530.892027993,530.89202657,1000,0,8.03438974909e-15,0,False,False,False
45,137.783472033,137.783471286,0.398218125105,336.773572093,136.338704285,473.112276378,473.112276598,1000,7.46670142604e-07,2.19652605344e-07,0,False,False,False
46,139.011287423,139.011284232,0.401766717434,277.81863445,136.720004211,414.538638661,414.538639599,1000,3.9372601961e-06,1.15824831693e-06,0,False,False,False
47,214.798675678,214.798679616,0.620805442333,236.764563972,160.255938689,397.020502661,397.020501502,1000,0,7.57714805605e-15,0,False,False,False
48,216.464723005,216.464723005,0.625620603561,214.142686753,160.773332022,374.916018776,374.916018776,1000,0,5.7481812839e-15,0,False,False,False
49,211.915621581,211.915620565,0.612472891808,202.32726928,159.360598735,361.687868015,361.687868314,1000,1.01535572838e-06,2.98693511846e-07,0,False,False,False
50,260.836816611,260.836816907,0.753863632679,193.439773437,174.553178846,367.992952283,367.992952196,1000,7.19838972429e-07,2.11759513729e-07,0,False,False,False
51,195.673419482,195.673420201,0.565530121326,188.353248672,154.316549317,342.669797989,342.669797777,1000,0,9.12850380029e-15,0,False,False,False
52,224.723277063,224.723271489,0.649489223957,191.050684667,163.338041667,354.388726335,354.388727974,1000,5.57347791386e-06,1.63958465865e-06,0,False,False,False
53,242.653110064,242.653108358,0.701309561729,212.193348428,168.90619005,381.099538478,381.09953898,1000,7.27886535401e-06,2.14126908217e-06,0,False,False,False
54,304.074775817,304.074772954,0.878828823566,237.55120292,187.980816837,425.532019757,425.532020599,1000,1.01421582599e-05,2.98358175671e-06,0,False,False,False
55,396.466139797,342.969130993,0.991240262985,266.683050023,200.935601881,467.618651904,468.510261483,1000,53.4970189461,15.7375506496,0,False,False,False
56,404.286739023,346,1,311.958527214,201.955280658,513.913807872,513.913807872,1000,111.783757969,32.8841230314,0,False,False,False
57,339.919466706,346,1,362.615322915,200.901209897,563.516532813,563.516532813,1000,105.703224675,31.0953747503,0,False,False,False
58,327.614758915,346,1,410.924412316,200.699709473,611.624121789,611.624121789,1000,87.3179835897,25.6868740808,0,False,False,False
59,321.010948017,346,1,451.531927617,200.591566255,652.123493872,652.123493872,1000,62.3289316064,18.3356893041,0,False,False,False
60,301.067989223,346,1,486.484157875,200.264982744,686.749140619,686.749140619,1000,17.3969208298,5.11776035563,0,False,False,False
61,372.238060931,346,1,513.082873399,201.430455335,714.513328734,714.513328734,1000,43.6349817606,12.8363738593,0,False,False,False
62,314.108222933,346,1,530.71444633,200.478528053,731.192974383,731.192974383,1000,11.7432046932,3.45457153108,0,False,False,False
63,301.983656291,313.726860985,0.906725049019,541.674013573,190.785987655,732.460001228,731.568388666,1000,0,4.89901813969e-15,0,False,False,False
64,279.234076971,279.234076971,0.807034909725,543.406184561,180.266486551,723.672671111,723.672671111,1000,0,5.87882176763e-15,0,False,False,False
65,304.408957141,304.408951402,0.87979465723,525.406478612,188.084596702,713.491075314,713.491077002,1000,5.73975388818e-06,1.68849909332e-06,0,False,False,False
66,326.518602994,326.518608734,0.943695425987,489.868281157,194.950796971,684.819078128,684.81907644,1000,0,6.7933051537e-15,0,False,False,False
67,338.939376204,338.939376204,0.979593575001,452.615051705,198.808092455,651.42314416,651.42314416,1000,0,1.05492190608e-14,0,False,False,False
68,236.055084786,236.055084467,0.682240128517,412.765141953,166.857159869,579.622301822,579.622301916,1000,3.19407295279e-07,9.39620404265e-08,0,False,False,False
69,168.166025955,168.166023374,0.486028969288,355.562504297,145.774069591,501.336573889,501.336574648,1000,2.90108429013e-06,8.53430011929e-07,0,False,False,False
70,177.586362813,177.586365714,0.513255417347,294.862225421,148.699576574,443.561801995,443.561801142,1000,0,7.28320696767e-15,0,False,False,False
71,196.97892095,196.978912234,0.56930321455,253.591434279,154.72197276,408.313407039,408.313409603,1000,8.71528724744e-06,2.56383024214e-06,0,False,False,False
72,260.637452067,260.637452364,0.753287434578,230.256566831,174.491265769,404.7478326,404.747832512,1000,8.41791853645e-06,2.47635143481e-06,0,False,False,False
73,205.334523665,205.334528327,0.593452394009,216.30024394,157.316826644,373.617070584,373.617069213,1000,3.75629508653e-06,1.10501268296e-06,0,False,False,False
74,186.988383048,186.988386804,0.540428876877,205.521146991,151.619393929,357.140540921,357.140539816,1000,0,3.49463293964e-15,0,False,False,False
75,262.268162276,262.268162276,0.75800049305,199.613298031,174.997686157,374.610984188,374.610984188,1000,0,5.61754080018e-15,0,False,False,False
76,396.992486935,346,1,201.301900738,201.835830857,403.137731595,403.137731595,1000,50.9924869347,15.0007768974,0,False,False,False
77,250.507907797,301.500394731,0.871388435364,221.077543094,186.34629136,407.423834454,407.423834454,1000,0,5.58488067924e-15,0,False,False,False
78,364.822313996,346,1,245.461783379,201.309015949,446.770799329,446.770799329,1000,18.8223139958,5.5370771248,0,False,False,False
79,350.739964146,346,1,273.587429679,201.078405071,474.665834749,474.665834749,1000,23.5622781414,6.93146184545,0,False,False,False
80,384.666209125,346,1,319.460364611,201.633977205,521.094341815,521.094341815,1000,62.2284872665,18.3061409682,0,False,False,False
81,295.24004069,346,1,370.132816021,200.169544955,570.302360977,570.302360977,1000,11.468527957,3.37376816792,0,False,False,False
82,396.835396197,346,1,418.409580084,201.833258358,620.242838442,620.242838442,1000,62.3039241544,18.3283327065,0,False,False,False
83,292.277054932,346,1,462.132714933,200.121023455,662.253738388,662.253738388,1000,8.58097908615,2.52431996496,0,False,False,False
84,282.168491571,290.749470657,0.840316414833,496.0515337,183.702095124,679.753628825,679.753628825,1000,0,9.11217373982e-15,0,False,False,False
85,183.904368361,183.904368361,0.531515538692,518.813934789,150.661645595,669.475580384,669.475580384,1000,0,9.21015410261e-15,0,False,False,False
86,313.56929491,313.569285035,0.906269609928,536.674172365,190.929357592,727.603529957,727.603532862,1000,9.87458514601e-06,2.90486810914e-06,0,False,False,False
87,337.337409121,337.337418996,0.974963665009,551.578652359,198.310601122,749.889253481,749.889250576,1000,0,6.85862539556e-15,0,False,False,False
88,288.827319483,288.827314138,0.834761023521,556.451563762,183.245686562,739.697250324,739.697251896,1000,5.34480981429e-06,1.57231593566e-06,0,False,False,False
89,289.517294647,289.517299992,0.836755216122,535.092090982,183.459962941,718.552053922,718.55205235,1000,0,6.20542297694e-15,0,False,False,False
90,316.190758435,316.190758435,0.913846135139,493.526027577,191.743461493,685.26948907,685.26948907,1000,0,6.66266466998e-15,0,False,False,False
91,197.67631218,197.676306605,0.571318805218,453.301836716,154.938549994,608.24038671,608.24038835,1000,5.57508730736e-06,1.64005810012e-06,0,False,False,False
92,283.238200371,283.238198161,0.818607509136,413.17936939,181.509974821,594.689344211,594.689344861,1000,7.78534299428e-06,2.29026275575e-06,0,False,False,False
93,163.686099411,163.686105967,0.473081231117,354.519850318,144.382821695,498.902672012,498.902670084,1000,1.22935592373e-06,3.61647281085e-07,0,False,False,False
94,210.606995266,210.606995583,0.608690738678,292.148443994,158.95420248,451.102646474,451.102646381,1000,9.12408864906e-07,2.68408994817e-07,0,False,False,False
95,181.025550745,181.025541663,0.523195207119,249.792707055,149.767620074,399.560327129,399.560329801,1000,9.99415040681e-06,2.9400413638e-06,0,False,False,False
96,209.797642229,209.797652223,0.606351613998,225.788933246,158.702859044,384.491792289,384.491789349,1000,0,9.73271603751e-15,0,False,False,False
97,204.656939951,204.656932235,0.5914940238,211.950772649,157.106397959,369.057170608,369.057172878,1000,7.71631932395e-06,2.269957637e-06,0,False,False,False
98,258.493735406,258.493743122,0.747091770172,201.778457657,173.825532246,375.603989904,375.603987634,1000,0,1.64607009494e-14,0,False,False,False
99,258.462466411,258.462466411,0.747001349926,196.510086938,173.815819324,370.325906263,370.325906263,1000,0,1.60361193772e-14,0,False,False,False
100,368.389710534,346,1,198.911999932,201.367435208,400.279435141,400.279435141,1000,22.3897105341,6.58652034266,0,False,False,False
101,354.523837747,346,1,220.393951512,201.140369333,421.534320844,421.534320844,1000,30.9135482812,9.09403068469,0,False,False,False
102,341.43129687,346,1,246.182265164,200.925967447,447.108232611,447.108232611,1000,26.3448451515,7.75002688181,0,False,False,False
103,374.289075228,346,1,276.015554646,201.4640425,477.479597146,477.479597146,1000,54.6339203793,16.0720000122,0,False,False,False
104,221.485263135,276.119183514,0.798032343388,322.754589075,178.404471302,501.159060377,501.159060377,1000,0,9.66739579565e-15,0,False,False,False
105,264.436640516,264.436638951,0.764267742634,378.005293606,175.671111163,553.676404769,553.676405229,1000,1.56460592393e-06,4.60269860641e-07,0,False,False,False
106,241.841278628,241.841275811,0.698963224888,432.186371686,168.654073768,600.840445454,600.840446282,1000,4.38127757718e-06,1.28886767184e-06,0,False,False,False
107,342.445575128,332.616219163,0.961318552494,479.054688077,197.005387132,676.060075209,678.951637962,1000,9.82936034661,2.89156404143,0,False,False,False
108,340.458862751,337.047115207,0.974124610424,514.801756259,198.276317204,713.078073463,714.081728448,1000,13.2411078912,3.89521902714,0,False,False,False
109,312.297092363,325.538190126,0.940861821175,540.887729783,194.429491376,735.317221159,731.422005111,1000,1.01274764148e-05,2.97926270537e-06,0,False,False,False
110,452.608746566,346,1,560.993354561,202.74659608,763.73995064,763.73995064,1000,106.608756693,31.3617607337,0,False,False,False
111,252.046165406,346,1,572.139272421,199.462207215,771.601479636,771.601479636,1000,12.6549220989,3.72277710838,0,False,False,False
112,266.050139334,278.705052257,0.805505931377,571.682921511,179.894961474,751.577882985,751.577882705,1000,9.17614151064e-06,2.69940260727e-06,0,False,False,False
113,258.016824433,258.01683361,0.745713412762,548.410358862,173.677426973,722.087785835,722.087783136,1000,0,1.1888284019e-14,0,False,False,False
114,231.025093194,231.025084257,0.667702555656,509.711244129,165.295082895,675.006327024,675.006329653,1000,8.93639531085e-06,2.62887497596e-06,0,False,False,False
115,218.012423505,87.4915844202,0.252865850925,471.861367575,120.415437733,592.276805308,633.115341234,633.211606281,130.520848021,40.8385385553,0,True,False,False
116,186.396348962,58.8917332888,0.170207321644,430.971912941,112.219272162,543.191185102,582.407448338,592.322151647,258.025463695,80.0548017911,0,True,False,False
117,159.259941913,34.344185099,0.0992606505752,372.911922667,104.500849844,477.412772512,515.920189939,534.262161373,382.941220509,118.562219218,0,True,False,False
118,251.728053082,117.990678251,0.341013520956,311.186619939,130.372172687,441.558792626,482.911053079,472.536858645,516.678595341,159.914479671,0,True,False,False
119,215.230691123,223.571568489,0.64616060257,267.414507185,163.186317475,430.60082466,427.804608019,1000,508.337717975,157.11826303,0,False,True,False
120,247.644412322,252.892963767,0.730904519558,241.566077744,172.494681202,414.060758946,412.022327681,1000,503.08916653,155.079831765,0,False,True,False
121,252.81183916,257.567399263,0.744414448738,227.340777542,176.70352972,404.044307263,399.401782722,1000,498.333606426,150.437307225,0,False,True,False
122,273.107253307,275.926590681,0.79747569561,216.331443603,182.946183356,399.277626959,394.695232214,1000,495.514269053,145.85491248,0,False,True,False
123,272.301076812,275.197333455,0.795368015766,207.236075679,179.051838016,386.287913696,385.349504489,1000,492.61801241,144.916503273,0,False,True,False
124,254.542712147,259.133154392,0.748939752579,199.803846271,173.94893035,373.752776621,372.402377688,1000,488.027570164,143.56610434,0,False,True,False
125,247.542050534,252.800365567,0.730636894703,203.146616366,171.971332493,375.117948859,373.571077635,1000,482.769255131,142.019233116,0,False,True,False
126,249.637396545,254.695803285,0.736115038395,212.97986507,172.563238326,385.543103395,384.055040437,1000,477.710848391,140.531170157,0,False,True,False
127,321.601365592,319.79429698,0.92426097393,235.57776727,192.892140286,428.469907556,429.001504164,1000,479.517917004,141.062766766,0,False,True,False
128,431.645235548,345.950607419,0.999857246876,276.753327421,202.388770005,479.142097426,479.156627549,1000,565.212545133,166.272088278,0,False,True,False
129,296.635718853,339.510536671,0.981244325638,323.586369104,198.283354642,521.869723747,523.778769519,1000,522.337727316,153.659336572,0,False,True,False
130,237.792571267,275.070047021,0.795000135899,365.321834584,178.362886827,543.684721411,543.39156853,1000,485.060251562,142.693189779,0,False,True,False
131,455.000144144,332.914306998,0.96218007803,405.449540905,198.936257658,604.385798563,608.235298226,1000,607.146088707,178.607939489,0,False,True,False
132,349.176229522,255.39406383,0.738133132458,436.352633257,174.398686007,610.751319264,637.405430796,1000,700.928254399,206.196422206,0,False,True,False
133,295.542713308,252.835693121,0.730738997459,459.888753259,172.767778137,632.656531396,660.063254745,1000,743.635274585,218.75981184,0,False,True,False
134,266.963932216,236.633586049,0.683912098408,482.499820923,167.533500868,650.033321792,677.112075802,1000,773.965620752,227.682278333,0,False,True,False
135,272.526726574,188.778753877,0.545603334904,500.290802682,152.182238846,652.473041527,678.474307498,1000,857.713593449,253.683544304,0,False,True,False
136,198.541996551,176.128767371,0.509042680264,504.633590129,149.978556951,654.61214708,659.84098186,1000,880.126822629,258.912379084,0,False,True,False
137,231.240824084,228.81757617,0.66132247448,486.545320534,164.6492193,651.194539834,651.907401738,1000,882.550070543,259.625240988,0,False,True,False
138,209.364724297,218.265217304,0.630824327469,451.766631096,161.186725894,612.953356989,610.335043628,1000,873.649577537,257.006927626,0,False,True,False
139,254.947196596,259.499051332,0.749997258186,421.093979493,174.063192317,595.15717181,593.818124403,1000,869.0977228,255.66788022,0,False,True,False
140,252.091044572,256.915375948,0.742529988289,386.527985437,173.256364462,559.784349899,558.365146346,1000,864.273391424,254.248676667,0,False,True,False
141,250.339515398,255.330936193,0.73795068264,331.732734759,172.761577137,504.494311896,503.025954609,1000,859.281970629,252.78031938,0,False,True,False
142,338.263856037,334.867159724,0.967824161053,275.320457148,197.599080979,472.919538127,473.918765398,1000,862.678666941,253.779546651,0,False,True,False
143,234.961251466,346,1,234.537646676,199.182426706,433.720073381,401.055114407,1000,751.639918407,221.114587677,0,False,False,False
144,280.529374124,346,1,209.504462207,199.928644837,409.433107045,390.173206006,1000,686.169292532,201.854686638,0,False,False,False
145,197.620547034,346,1,197.607054544,198.570939791,396.177994335,352.528288194,1000,537.789839566,158.204980497,0,False,False,False
146,347.240741142,346,1,188.819487618,201.021102213,389.840589831,389.840589831,1000,539.030580708,158.569977032,0,False,False,False
147,237.310847146,346,1,182.424768514,199.220903404,381.645671917,350.036904647,1000,430.341427853,126.596213226,0,False,False,False
148,313.248340092,346,1,177.423105059,200.464446715,377.887551774,368.252792365,1000,397.589767945,116.961453817,0,False,False,False
149,417.458473089,346,1,183.37649175,202.170979401,385.547471151,385.547471151,1000,469.048241034,137.982837096,0,False,False,False
150,484.083306348,346,1,194.10946072,203.26201971,397.37148043,397.37148043,1000,607.131547382,178.603661777,0,False,False,False
151,268.178369068,346,1,213.837030794,199.726386254,413.563417048,413.563417048,1000,529.30991645,155.710388795,0,False,False,False
152,353.818591247,346,1,247.349558784,201.1288203,448.478379084,448.478379084,1000,537.128507697,158.01043239,0,False,False,False
153,367.348601967,346,1,280.401427602,201.350386139,481.751813741,481.751813741,1000,558.477109664,164.290683353,0,False,False,False
154,458.934201979,346,1,308.591796844,202.850180982,511.441977826,511.441977826,1000,671.411311643,197.513239651,0,False,False,False
155,417.235268629,346,1,340.290336201,202.167324232,542.457660433,542.457660433,1000,742.646580271,218.468961487,0,False,False,False
156,260.988655185,346,1,371.431799052,199.608648359,571.040447411,571.040447411,1000,657.635235456,193.460645674,0,False,False,False
157,224.227110074,346,1,401.384160568,199.006645689,600.390806257,600.390806257,1000,535.862345531,157.637957594,0,False,False,False
158,330.70639951,346,1,434.492935174,200.75033781,635.243272984,635.243272984,1000,520.568745041,153.138944059,0,False,False,False
159,338.362660855,346,1,460.01557871,200.875715831,660.891294541,660.891294541,1000,512.931405896,150.892220522,0,False,False,False
160,286.564341168,346,1,467.233506695,200.027472737,667.260979431,667.260979431,1000,453.495747064,133.407663257,0,False,False,False
161,264.883562972,346,1,450.627480627,199.672430903,650.299911531,642.883594397,1000,372.379310036,109.545136683,0,False,False,False
162,220.18386692,346,1,422.210606096,198.940434022,621.151040118,584.138926062,1000,246.563176956,72.5330226267,0,False,False,False
163,252.24334241,346,1,399.2386963,199.465436162,598.704132462,571.123153621,1000,152.806519366,44.9520437866,0,False,False,False
164,197.824071386,346,1,370.267581377,198.574272682,568.841854059,525.252019942,1000,4.63059075236,1.36220966959,0,False,False,False
165,232.521344581,237.151929736,0.68541020155,321.683943555,167.121957554,488.805901108,487.443693085,1000,5.59702249348e-06,1.64651090918e-06,0,False,False,False
166,278.640350473,278.64035607,0.805318951607,269.643941408,180.082105188,449.726046596,449.726044949,1000,0,1.03859184561e-14,0,False,False,False
167,118.524013588,118.524013588,0.342554956675,237.835671796,130.35763929,368.193311085,368.193311085,1000,0,1.07125196655e-14,0,False,False,False
168,0,0,0,224.097967428,93.5497582745,317.647725702,317.647725702,1000,0,1.07125196655e-14,0,False,False,True
169,0,0,0,212.996319649,93.5497582745,306.546077923,306.546077923,1000,0,1.07125196655e-14,0,False,False,True
170,0,0,0,204.215534851,93.5497582745,297.765293126,297.765293126,1000,0,8.62227192585e-15,0,False,False,True
171,0,0,0,199.977901984,93.5497582745,293.527660258,293.527660258,1000,0,4.44177644665e-15,0,False,False,True
172,0,0,0,203.540484132,93.5497582745,297.090242407,297.090242407,1000,0,3.91921451175e-15,0,False,False,True
173,0,0,0,226.381365211,93.5497582745,319.931123486,319.931123486,1000,0,3.91921451175e-15,0,False,False,True
174,0,0,0,254.869175674,93.5497582745,348.418933949,348.418933949,1000,0,3.78857402803e-15,0,False,False,True
175,0,0,0,283.783198236,93.5497582745,377.33295651,377.33295651,1000,0,3.78857402803e-15,0,False,False,True
176,0,0,0,316.223163835,93.5497582745,409.77292211,409.77292211,1000,0,3.78857402803e-15,0,False,False,True
177,0,0,0,350.819198883,93.5497582745,444.368957157,444.368957157,1000,0,2.67812991636e-15,0,False,False,True
178,0,0,0,385.337716714,93.5497582745,478.887474989,478.887474989,1000,0,2.67812991636e-15,0,False,False,True
179,0,0,0,418.570364657,93.5497582745,512.120122931,512.120122931,1000,0,1.95960725588e-15,0,False,False,True
180,0,0,0,446.994074877,93.5497582745,540.543833152,540.543833152,1000,0,1.95960725588e-15,0,False,False,True
181,0,0,0,464.3392307,93.5497582745,557.888988975,557.888988975,1000,0,1.17576435353e-15,0,False,False,True
182,0,0,0,472.710821055,93.5497582745,566.260579329,566.260579329,1000,0,1.0451238698e-15,0,False,False,True
183,0,0,0,471.707326835,93.5497582745,565.257085109,565.257085109,1000,0,7.8384290235e-16,0,False,False,True
184,0,0,0,460.882940745,93.5497582745,554.432699019,554.432699019,1000,0,7.8384290235e-16,0,False,False,True
185,0,0,0,439.842995709,93.5497582745,533.392753984,533.392753984,1000,0,7.8384290235e-16,0,False,False,True
186,0,0,0,418.028646334,93.5497582745,511.578404608,511.578404608,1000,0,7.8384290235e-16,0,False,False,True
187,0,0,0,401.342529439,93.5497582745,494.892287713,494.892287713,1000,0,7.8384290235e-16,0,False,False,True
188,0,0,0,375.532657828,93.5497582745,469.082416103,469.082416103,1000,0,0,0,False,False,True
189,0,0,0,325.856218769,93.5497582745,419.405977043,419.405977043,1000,0,0,0,False,False,True
190,0,0,0,269.680220552,93.5497582745,363.229978826,363.229978826,1000,0,0,0,False,False,True
191,0,0,0,232.648182333,93.5497582745,326.197940608,326.197940608,1000,0,0,0,False,False,True
192,0,0,0,212.21439217,93.5497582745,305.764150445,305.764150445,1000,0,0,0,False,False,True
193,0,0,0,202.283655395,93.5497582745,295.833413669,295.833413669,1000,0,0,0,False,False,True
194,0,0,0,195.945929262,93.5497582745,289.495687537,289.495687537,1000,0,0,0,False,False,True
195,0,0,0,194.049941564,93.5497582745,287.599699839,287.599699839,1000,0,0,0,False,False,True
196,0,0,0,198.678511466,93.5497582745,292.228269741,292.228269741,1000,0,0,0,False,False,True
197,0,0,0,221.803543861,93.5497582745,315.353302135,315.353302135,1000,0,0,0,False,False,True
198,0,0,0,249.175663033,93.5497582745,342.725421307,342.725421307,1000,0,0,0,False,False,True
199,0,0,0,272.98697295,93.5497582745,366.536731224,366.536731224,1000,0,0,0,False,False,True
200,0,0,0,298.220059686,93.5497582745,391.76981796,391.76981796,1000,0,0,0,False,False,True
201,0,0,0,320.256321547,93.5497582745,413.806079821,413.806079821,1000,0,0,0,False,False,True
202,0,0,0,337.292457346,93.5497582745,430.84221562,430.84221562,1000,0,0,0,False,False,True
203,0,0,0,353.565316938,93.5497582745,447.115075213,447.115075213,1000,0,0,0,False,False,True
204,0,0,0,366.820943975,93.5497582745,460.370702249,460.370702249,1000,0,0,0,False,False,True
205,0,0,0,371.214831816,93.5497582745,464.76459009,464.76459009,1000,0,0,0,False,False,True
206,0,0,0,371.069280634,93.5497582745,464.619038908,464.619038908,1000,0,0,0,False,False,True
207,0,0,0,370.712100614,93.5497582745,464.261858889,464.261858889,1000,0,0,0,False,False,True
208,0,0,0,368.21179065,93.5497582745,461.761548924,461.761548924,1000,0,0,0,False,False,True
209,0,0,0,361.864347993,93.5497582745,455.414106267,455.414106267,1000,0,0,0,False,False,True
210,0,0,0,356.764678193,93.5497582745,450.314436468,450.314436468,1000,0,0,0,False,False,True
211,0,0,0,350.673799846,93.5497582745,444.223558121,444.223558121,1000,0,0,0,False,False,True
212,0,0,0,331.480927814,93.5497582745,425.030686088,425.030686088,1000,0,0,0,False,False,True
213,0,0,0,288.346425751,93.5497582745,381.896184026,381.896184026,1000,0,0,0,False,False,True
